work,cve,cant_tell,failed_versions,false_negative,false_positive,func_not_found,funcname,no_diff,no_sig,project,succeed,target,target,too_much_diff
Robin,CVE-2017-16931,,,0,0,,xmlParseNameComplex,,,libxml2,6,6,,
Robin,CVE-2017-12992,,,0,0,,ripng_print,,,tcpdump,6,6,,
Robin,CVE-2017-13003,,,0,0,,lmp_print,,,tcpdump,6,6,,
Robin,CVE-2017-13007,,,0,0,,pktap_if_print,,,tcpdump,6,6,,
Robin,CVE-2017-13687,,,0,0,,chdlc_print,,,tcpdump,6,6,,
Robin,CVE-2015-1789,,/binaries/target/openssl/openssl-OpenSSL_0_9_8zf-o0-openssl,0,0,,X509_cmp_time,,,openssl,2,4,,
Robin,CVE-2020-22037,,,1,0,,ff_frame_thread_encoder_init,,,ffmpeg,3,4,,
Robin,CVE-2020-22039,,,0,0,,avi_write_trailer,,,ffmpeg,2,2,,
Robin,CVE-2015-9381,,,0,0,,T1_Get_Private_Dict,,,freetype,6,6,,
Robin,CVE-2023-46219,,,3,0,,Curl_fopen,,,curl,3,6,,
Robin,CVE-2016-8621,,,0,0,,parsedate,,,curl,6,6,,
Robin,CVE-2019-5482,,,0,0,,tftp_connect,,,curl,6,6,,
Robin,CVE-2017-8818,,,0,0,,allocate_conn,,,curl,5,5,,
