CVE,funcname,succeed,tp,tn,fp,fn,precision,recall,f1_score,false_positive,false_negative,failed_versions,func_not_found,target,no_sig
CVE-2015-3197,get_client_master_key,3,3,0,0,0,1.0000,1.0000,1.0000,,,,OpenSSL-fips-2_0_12;OpenSSL-fips-2_0_10,5,
CVE-2015-3197,get_client_hello,0,0,0,0,3,0.0000,0.0000,0.0000,OpenSSL_1_0_1q;OpenSSL_1_0_2e;OpenSSL_1_0_1p,,,,3,
CVE-2016-0705,dsa_priv_decode,3,3,0,3,0,0.5000,1.0000,0.6667,,OpenSSL_1_0_2g;OpenSSL_1_0_1s;OpenSSL_1_0_2h,,,6,
CVE-2016-0798,ssl_srp_server_param_cb,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2016-0798,sv_body,1,1,0,0,0,1.0000,1.0000,1.0000,,,OpenSSL_1_0_1r;OpenSSL_1_0_1q;OpenSSL_1_0_2g;OpenSSL_1_0_1s;OpenSSL_1_0_2h,,6,
CVE-2016-0798,init_ssl_connection,1,1,0,0,0,1.0000,1.0000,1.0000,,,OpenSSL_1_0_1r;OpenSSL_1_0_1q;OpenSSL_1_0_2g;OpenSSL_1_0_1s;OpenSSL_1_0_2h,,6,
CVE-2016-0798,www_body,1,1,0,0,0,1.0000,1.0000,1.0000,,,OpenSSL_1_0_1r;OpenSSL_1_0_1q;OpenSSL_1_0_2g;OpenSSL_1_0_1s;OpenSSL_1_0_2h,,6,
CVE-2016-0798,rev_body,1,1,0,0,0,1.0000,1.0000,1.0000,,,OpenSSL_1_0_1r;OpenSSL_1_0_1q;OpenSSL_1_0_2g;OpenSSL_1_0_1s;OpenSSL_1_0_2h,,6,
CVE-2016-0799,_dopr,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2016-0799,fmtint,3,0,3,0,0,0.0000,0.0000,0.0000,,,OpenSSL_1_0_2f;OpenSSL_1_0_1r;OpenSSL_1_0_1q,,6,
CVE-2016-0799,fmtfp,3,0,3,0,3,0.0000,0.0000,0.0000,OpenSSL_1_0_2f;OpenSSL_1_0_1r;OpenSSL_1_0_1q,,,,6,
CVE-2016-0799,doapr_outch,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2016-0799,BIO_vprintf,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2016-0799,BIO_vsnprintf,3,0,3,0,0,0.0000,0.0000,0.0000,,,OpenSSL_1_0_2f;OpenSSL_1_0_1r;OpenSSL_1_0_1q,,6,
CVE-2016-2842,_dopr,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2016-2842,fmtint,3,0,3,0,0,0.0000,0.0000,0.0000,,,OpenSSL_1_0_2f;OpenSSL_1_0_1r;OpenSSL_1_0_1q,,6,
CVE-2016-2842,fmtfp,3,0,3,0,3,0.0000,0.0000,0.0000,OpenSSL_1_0_2f;OpenSSL_1_0_1r;OpenSSL_1_0_1q,,,,6,
CVE-2016-2842,doapr_outch,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2016-2842,BIO_vprintf,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2016-2842,BIO_vsnprintf,3,0,3,0,0,0.0000,0.0000,0.0000,,,OpenSSL_1_0_2f;OpenSSL_1_0_1r;OpenSSL_1_0_1q,,6,
CVE-2016-0797,BN_hex2bn,0,0,0,0,0,0.0000,0.0000,0.0000,,,OpenSSL_1_0_2f;OpenSSL_1_0_1r;OpenSSL_1_0_1q;OpenSSL_1_0_2g;OpenSSL_1_0_1s;OpenSSL_1_0_2h,,6,
CVE-2016-0797,BN_dec2bn,0,0,0,0,0,0.0000,0.0000,0.0000,,,OpenSSL_1_0_2f;OpenSSL_1_0_1r;OpenSSL_1_0_1q;OpenSSL_1_0_2g;OpenSSL_1_0_1s;OpenSSL_1_0_2h,,6,
CVE-2016-0702,BN_mod_exp_mont_consttime,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2016-0702,MOD_EXP_CTIME_COPY_TO_PREBUF,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2016-0702,bn_get_bits,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2016-2109,asn1_d2i_read_bio,0,0,0,0,0,0.0000,0.0000,0.0000,,,OpenSSL_1_0_2g;OpenSSL_1_0_1s;OpenSSL_1_0_2f;OpenSSL_1_0_2h;OpenSSL_1_0_1t;OpenSSL_1_0_2i,,6,
CVE-2016-2105,EVP_EncodeUpdate,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2016-2106,EVP_EncryptUpdate,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2016-2107,aesni_cbc_hmac_sha1_cipher,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2016-2107,aesni_cbc_hmac_sha256_cipher,2,0,2,0,2,0.0000,0.0000,0.0000,OpenSSL_1_0_2g;OpenSSL_1_0_2f,,OpenSSL_1_0_1s;OpenSSL_1_0_1u,,6,
CVE-2016-2108,ASN1_TYPE_cmp,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2016-2108,asn1_ex_c2i,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2016-2108,asn1_ex_i2c,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
