CVE,funcname,succeed,tp,tn,fp,fn,precision,recall,f1_score,false_positive,false_negative,failed_versions,func_not_found,target,no_sig
CVE-2022-23308,xmlAddID__internal_alias,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2022-23308,xmlValidCtxtNormalizeAttributeValue__internal_alias,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2022-23308,xmlValidNormalizeAttributeValue__internal_alias,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2022-23308,xmlIsStreaming,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2022-23308,xmlValidNormalizeString,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2022-29824,xmlBufCreateSize,3,3,0,3,0,0.5000,1.0000,0.6667,,2.10.0;2.10.1;2.10.2,,,6,
CVE-2022-29824,xmlBufResize,3,0,3,0,3,0.0000,0.0000,0.0000,2.9.13;2.9.11;2.9.12,,,,6,
CVE-2022-29824,xmlBufAdd,0,0,0,0,0,0.0000,0.0000,0.0000,,,2.9.13;2.9.11;2.9.12;2.10.0;2.10.1;2.10.2,,6,
CVE-2022-40303,xmlFatalErr,0,0,0,0,0,0.0000,0.0000,0.0000,,,2.10.2;2.10.1;2.10.0;2.10.4;2.11.0;2.11.1,,6,
CVE-2022-40303,xmlParseNameComplex,4,3,1,2,0,0.6000,1.0000,0.7500,,2.11.0;2.11.1,,,6,
CVE-2022-40303,xmlParseName,3,3,0,3,0,0.5000,1.0000,0.6667,,2.10.4;2.11.0;2.11.1,,,6,
CVE-2022-40303,xmlParseNCNameComplex,4,3,1,2,0,0.6000,1.0000,0.7500,,2.11.0;2.11.1,,,6,
CVE-2022-40303,xmlParseNCName,3,3,0,3,0,0.5000,1.0000,0.6667,,2.10.4;2.11.0;2.11.1,,,6,
CVE-2022-40303,xmlParseStringName,3,0,3,0,3,0.0000,0.0000,0.0000,2.10.2;2.10.1;2.10.0,,,,6,
CVE-2022-40303,xmlParseNmtoken,0,0,0,0,0,0.0000,0.0000,0.0000,,,2.10.2;2.10.1;2.10.0;2.10.4;2.11.0;2.11.1,,6,
CVE-2022-40303,xmlParseEntityValue,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2022-40303,xmlParseAttValueComplex,3,3,0,3,0,0.5000,1.0000,0.6667,,2.10.4;2.11.0;2.11.1,,,6,
CVE-2022-40303,xmlParseSystemLiteral,3,3,0,3,0,0.5000,1.0000,0.6667,,2.10.4;2.11.0;2.11.1,,,6,
CVE-2022-40303,xmlParsePubidLiteral,3,3,0,3,0,0.5000,1.0000,0.6667,,2.10.4;2.11.0;2.11.1,,,6,
CVE-2022-40303,xmlParseCommentComplex,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2022-40303,xmlParseComment,3,0,3,0,3,0.0000,0.0000,0.0000,2.10.2;2.10.1;2.10.0,,,,6,
CVE-2022-40303,xmlParsePI,0,0,0,0,0,0.0000,0.0000,0.0000,,,2.10.2;2.10.1;2.10.0;2.10.4;2.11.0;2.11.1,,6,
CVE-2022-40303,xmlParseAttValueInternal,0,0,0,0,0,0.0000,0.0000,0.0000,,,2.10.2;2.10.1;2.10.0;2.10.4;2.11.0;2.11.1,,6,
CVE-2022-40303,xmlParseCDSect,3,3,0,3,0,0.5000,1.0000,0.6667,,2.10.4;2.11.0;2.11.1,,,6,
CVE-2022-40304,xmlFreeEntity,4,3,1,0,0,1.0000,1.0000,1.0000,,,2.11.0;2.11.1,,6,
CVE-2022-40304,xmlCreateEntity,3,3,0,3,0,0.5000,1.0000,0.6667,,2.10.4;2.11.0;2.11.1,,,6,
CVE-2023-28484,xmlSchemaFixupComplexType,3,0,3,0,3,0.0000,0.0000,0.0000,2.10.3;2.10.2;2.10.1,,,,6,
