CVE,funcname,succeed,tp,tn,fp,fn,precision,recall,f1_score,false_positive,false_negative,failed_versions,func_not_found,target,no_sig
CVE-2017-8396,bfd_install_relocation,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2017-8396,_bfd_final_link_relocate,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2017-8421,dump_relocs_in_section,1,1,0,3,0,0.2500,1.0000,0.4000,,2.29;2.29.1;2.30,,,4,
CVE-2017-9954,getvalue,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2017-9955,bfd_get_full_section_contents,0,0,0,0,0,0.0000,0.0000,0.0000,,,2.28;2.29;2.29.1;2.30,,4,
CVE-2017-9955,_bfd_generic_get_section_contents,1,1,0,3,0,0.2500,1.0000,0.4000,,2.29;2.29.1;2.30,,,4,
CVE-2017-13710,setup_group,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2017-12967,getsym,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2017-13757,elf_i386_get_synthetic_symtab,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2017-13757,elf_x86_64_get_synthetic_symtab,0,0,0,0,0,0.0000,0.0000,0.0000,,,2.29;2.29.1;2.30;2.31,,4,
CVE-2017-14129,read_section,2,1,1,2,0,0.3333,1.0000,0.5000,,2.30;2.31,,,4,
CVE-2017-12799,elf_read_notes,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2017-14128,decode_line_info,2,1,1,2,0,0.3333,1.0000,0.5000,,2.30;2.31,,,4,
CVE-2017-14130,_bfd_elf_parse_attributes,3,0,3,0,0,0.0000,0.0000,0.0000,,,2.29,,4,
CVE-2017-12448,bfd_generic_archive_p,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2017-14529,pe_print_idata,1,1,0,3,0,0.2500,1.0000,0.4000,,2.29.1;2.30;2.31,,,4,
CVE-2017-14745,_bfd_x86_elf_get_synthetic_symtab,0,0,0,2,0,0.0000,0.0000,0.0000,,2.30;2.31,,2.29;2.29.1,4,
CVE-2017-14729,_bfd_x86_elf_get_synthetic_symtab,2,0,2,0,0,0.0000,0.0000,0.0000,,,,2.29;2.29.1,4,
CVE-2017-14974,elf_i386_get_synthetic_symtab,3,0,3,0,1,0.0000,0.0000,0.0000,2.29,,,,4,
CVE-2017-14974,elf_x86_64_get_synthetic_symtab,3,0,3,0,1,0.0000,0.0000,0.0000,2.29,,,,4,
CVE-2017-14930,decode_line_info,2,0,2,0,0,0.0000,0.0000,0.0000,,,2.29;2.29.1,,4,
CVE-2017-14938,_bfd_elf_slurp_version_tables,3,1,2,0,0,1.0000,1.0000,1.0000,,,,,3,
CVE-2017-14939,decode_line_info,2,0,2,0,1,0.0000,0.0000,0.0000,2.29,,,,3,
CVE-2017-14940,scan_unit_for_symbols,3,1,2,0,0,1.0000,1.0000,1.0000,,,,,3,
CVE-2017-15021,bfd_get_debug_link_info_1,2,1,1,1,0,0.5000,1.0000,0.6667,,2.31,,,3,
CVE-2017-15024,find_abstract_instance_name,0,0,0,0,0,0.0000,0.0000,0.0000,,,2.29;2.29.1;2.30;2.31,,4,
CVE-2017-15024,scan_unit_for_symbols,2,1,1,1,0,0.5000,1.0000,0.6667,,2.31,,,3,
CVE-2017-15025,decode_line_info,3,0,3,0,1,0.0000,0.0000,0.0000,2.29,,,,4,
CVE-2017-15020,parse_die,3,1,2,1,0,0.5000,1.0000,0.6667,,2.30,,,4,
CVE-2017-15020,parse_line_table,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2017-15022,scan_unit_for_symbols,3,0,3,0,1,0.0000,0.0000,0.0000,2.29,,,,4,
CVE-2017-15022,parse_comp_unit,3,0,3,0,1,0.0000,0.0000,0.0000,2.29,,,,4,
CVE-2017-15023,read_formatted_entries,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2017-14932,decode_line_info,0,0,0,3,1,0.0000,0.0000,0.0000,2.29,2.30;2.31;2.31.1,,,4,
CVE-2017-14933,read_formatted_entries,1,1,0,3,0,0.2500,1.0000,0.4000,,2.30;2.31;2.31.1,,,4,
CVE-2017-15938,find_abstract_instance_name,0,0,0,0,0,0.0000,0.0000,0.0000,,,2.29;2.30;2.31;2.31.1,,4,
CVE-2017-15938,parse_comp_unit,1,1,0,1,0,0.5000,1.0000,0.6667,,2.30,2.31;2.31.1,,4,
CVE-2017-15939,concat_filename,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2017-15939,read_formatted_entries,3,0,3,0,1,0.0000,0.0000,0.0000,2.29,,,,4,
CVE-2017-15939,decode_line_info,3,0,3,0,1,0.0000,0.0000,0.0000,2.29,,,,4,
CVE-2017-14934,process_debug_info,3,0,3,0,1,0.0000,0.0000,0.0000,2.29,,,,4,
CVE-2017-15225,_bfd_dwarf2_cleanup_debug_info,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2017-16829,_bfd_elf_parse_gnu_properties,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2017-15996,process_archive_index_and_symbols,3,0,3,0,0,0.0000,0.0000,0.0000,,,2.29,,4,
CVE-2017-15996,setup_archive,3,0,3,0,0,0.0000,0.0000,0.0000,,,2.29,,4,
CVE-2017-15996,get_archive_member_name,3,0,3,0,0,0.0000,0.0000,0.0000,,,2.29,,4,
CVE-2017-16830,print_gnu_property_note,1,1,0,3,0,0.2500,1.0000,0.4000,,2.30;2.31;2.31.1,,,4,
CVE-2017-16828,read_cie,2,1,1,2,0,0.3333,1.0000,0.5000,,2.31;2.31.1,,,4,
CVE-2017-16828,display_debug_frames,1,1,0,3,0,0.2500,1.0000,0.4000,,2.30;2.31;2.31.1,,,4,
CVE-2017-16831,_bfd_coff_get_external_symbols,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2017-16831,coff_get_normalized_symtab,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2017-17080,elfcore_grok_nto_status,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2017-17124,_bfd_coff_read_string_table,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2017-17122,dump_relocs_in_section,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2017-17126,load_debug_section,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,4,true
CVE-2018-7208,coff_pointerize_aux,1,1,0,3,0,0.2500,1.0000,0.4000,,2.31;2.31.1;2.32,,,4,
CVE-2018-6543,load_specific_debug_section,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2018-6759,bfd_get_debug_link_info_1,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2018-6759,bfd_get_alt_debug_link_info,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2018-6872,elf_parse_notes,0,0,0,0,0,0.0000,0.0000,0.0000,,,2.30;2.31;2.31.1;2.32,,4,
CVE-2018-7570,assign_file_positions_for_non_load_sections,3,0,3,0,1,0.0000,0.0000,0.0000,2.30,,,,4,
CVE-2018-7568,parse_die,3,0,3,0,1,0.0000,0.0000,0.0000,2.30,,,,4,
CVE-2018-7569,read_attribute_value,0,0,0,0,0,0.0000,0.0000,0.0000,,,2.30;2.31;2.31.1;2.32,,4,
CVE-2018-7643,display_debug_ranges,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2018-10372,process_cu_tu_index,3,0,3,0,1,0.0000,0.0000,0.0000,2.30,,,,4,
CVE-2018-10373,concat_filename,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2018-8945,_bfd_elf_parse_attributes,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2018-8945,bfd_elf_get_str_section,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2018-17360,pe_print_edata,2,1,1,2,0,0.3333,1.0000,0.5000,,2.33.1;2.34,,,4,
CVE-2018-18605,_bfd_add_merge_section,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2018-18606,_bfd_add_merge_section,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2018-18607,elf_link_input_bfd,3,0,3,0,1,0.0000,0.0000,0.0000,2.31,,,,4,
CVE-2018-19932,rewrite_elf_program_header,3,0,3,0,3,0.0000,0.0000,0.0000,2.31;2.30;2.29.1,,,,6,
CVE-2018-20002,_bfd_generic_read_minisymbols,3,0,3,0,1,0.0000,0.0000,0.0000,2.31,,,,4,
CVE-2018-20002,display_rel_file,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2018-1000876,_bfd_elf_get_dynamic_symtab_upper_bound,3,3,0,3,0,0.5000,1.0000,0.6667,,2.32;2.33.1;2.34,,,6,
CVE-2018-1000876,_bfd_elf_get_dynamic_reloc_upper_bound,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2018-20651,elf_link_add_object_symbols,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2018-20671,load_specific_debug_section,3,0,3,0,3,0.0000,0.0000,0.0000,2.31.1;2.31;2.30,,,,6,
CVE-2019-17451,_bfd_dwarf2_slurp_debug_info,3,0,3,0,1,0.0000,0.0000,0.0000,2.32,,,,4,
CVE-2020-19724,display_rel_file,4,3,1,2,0,0.6000,1.0000,0.7500,,2.35;2.35.1,,,6,
CVE-2020-16590,get_num_dynamic_syms,0,0,0,0,0,0.0000,0.0000,0.0000,,,2.35;2.35.1;2.35.2;2.36.1,,4,
CVE-2020-16591,get_num_dynamic_syms,3,0,3,0,1,0.0000,0.0000,0.0000,2.35,,,,4,
CVE-2020-16593,scan_unit_for_symbols,3,0,3,0,1,0.0000,0.0000,0.0000,2.35,,,,4,
CVE-2020-16599,_bfd_elf_get_symbol_version_string,3,0,3,0,1,0.0000,0.0000,0.0000,2.35,,,,4,
CVE-2020-35448,_bfd_elf_slurp_secondary_reloc_section,1,1,0,2,0,0.3333,1.0000,0.5000,,2.36.1;2.37,,,3,
CVE-2021-20294,print_dynamic_symbol,5,2,3,0,0,1.0000,1.0000,1.0000,,,,,5,
CVE-2021-45078,stab_xcoff_builtin_type,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2022-38533,rewrite_elf_program_header,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2023-25586,bfd_init_section_decompress_status,3,0,3,0,1,0.0000,0.0000,0.0000,2.40,,,,4,
CVE-2022-48063,load_specific_debug_section,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2022-48064,find_debug_info,3,0,3,0,0,0.0000,0.0000,0.0000,,,2.39;2.38;2.37,,6,
CVE-2022-48065,find_abstract_instance,0,0,0,0,0,0.0000,0.0000,0.0000,,,2.39;2.38;2.37;2.40;2.41;2.42,,6,
CVE-2022-48065,scan_unit_for_symbols,3,0,3,0,0,0.0000,0.0000,0.0000,,,2.39;2.38;2.37,,6,
CVE-2023-1579,read_indexed_address,4,1,3,0,0,1.0000,1.0000,1.0000,,,,,4,
CVE-2018-17358,_bfd_stab_section_find_nearest_line,3,0,3,0,1,0.0000,0.0000,0.0000,2.31.1,,,,4,
