cve,succeed,failed,false_positive,false_negative,func_not_found,target
CVE-2015-8871,0,0,,28d2eabca79d,,1
CVE-2016-10506,0,0,,2d606701e8b7,,1
CVE-2016-7163,4,0,,,,4
CVE-2017-14039,3,0,,,,3
CVE-2017-14164,4,0,,,,4
CVE-2018-20847,4,0,,,,4
