CVE,funcname,succeed,false_positive,false_negative,failed_versions,func_not_found,targets,no_sig
CVE-2021-20176,GenerateDifferentialNoise,3,7.0.10-55;7.0.10-54,,7.0.10-53,,6,
CVE-2021-20244,ImplodeImage,6,,,,,6,
CVE-2021-20246,ScaleResampleFilter,3,7.0.10-61;7.0.10-60;7.0.10-59,,,,6,
CVE-2021-20311,EncipherAESBlock,6,,,,,6,
CVE-2021-20311,PasskeyDecipherImage,0,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,6,
CVE-2021-20311,PasskeyEncipherImage,0,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,6,
CVE-2021-20311,sRGBTransformImage,1,7.0.10-62,,7.0.10-61;7.0.10-60;7.0.11-3;7.0.11-4,,6,
CVE-2021-20311,TransformsRGBImage,3,7.0.10-62;7.0.10-61;7.0.10-60,,,,6,
CVE-2021-20311,WriteTHUMBNAILImage,6,,,,,6,
CVE-2021-20312,EncipherAESBlock,6,,,,,6,
CVE-2021-20312,PasskeyDecipherImage,0,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,6,
CVE-2021-20312,PasskeyEncipherImage,0,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,6,
CVE-2021-20312,sRGBTransformImage,1,7.0.10-62,,7.0.10-61;7.0.10-60;7.0.11-3;7.0.11-4,,6,
CVE-2021-20312,TransformsRGBImage,3,7.0.10-62;7.0.10-61;7.0.10-60,,,,6,
CVE-2021-20312,WriteTHUMBNAILImage,6,,,,,6,
CVE-2021-20313,EncipherAESBlock,6,,,,,6,
CVE-2021-20313,PasskeyDecipherImage,0,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,6,
CVE-2021-20313,PasskeyEncipherImage,0,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,6,
