cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,too_much_diff,cant_tell,no_diff,func_not_found,targets
CVE-2015-7941,xmlParseConditionalSections,0,0,0,,,,2.9.2;2.9.3;2.9.4;2.9.5-rc1,,,,4
CVE-2015-8241,xmlParseMarkupDecl__internal_alias,0,0,0,,,,,2.9.2;2.9.1;2.9.0;2.9.3;2.9.4;2.9.5-rc1,,,6
CVE-2015-8242,htmlParseTryOrFinish,0,0,0,,,,,,,2.9.2;2.9.1;2.9.0;2.9.4;2.9.5-rc1;2.9.5-rc2,6
CVE-2015-8317,xmlParseEncodingDecl__internal_alias,0,0,0,,,,2.9.2;2.9.1;2.9.0;2.9.3;2.9.4;2.9.5-rc1,,,,6
CVE-2015-8710,htmlParseComment,0,0,0,,,,2.9.2;2.9.2-rc2;2.9.2-rc1;2.9.3;2.9.4;2.9.5-rc1,,,,6
CVE-2016-1762,xmlParseInternalSubset,0,0,0,,,,,2.9.3;2.9.2;2.9.2-rc2;2.9.4;2.9.5-rc1;2.9.5-rc2,,,6
CVE-2016-1833,xmlNextChar__internal_alias,0,0,0,,,,2.9.3;2.9.2;2.9.2-rc2;2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2016-1834,xmlStrncatNew__internal_alias,0,0,0,,,,,2.9.3;2.9.2;2.9.2-rc2;2.9.4;2.9.5-rc1;2.9.5-rc2,,,6
CVE-2016-1834,xmlStrncat__internal_alias,0,0,0,,,,,2.9.3;2.9.2;2.9.2-rc2;2.9.4;2.9.5-rc1;2.9.5-rc2,,,6
CVE-2016-1836,xmlParseNCNameComplex,0,0,0,,,,,,,2.9.3;2.9.2;2.9.2-rc2;2.9.5-rc1;2.9.5-rc2;2.9.5,6
CVE-2016-1837,htmlParseSystemLiteral,0,0,0,,,,,2.9.3;2.9.2;2.9.2-rc2;2.9.5-rc1;2.9.5-rc2;2.9.5,,,6
CVE-2016-1838,xmlParseEndTag2,0,0,0,,,,2.9.4;2.9.3;2.9.2;2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2016-1840,xmlFAParseCharRange,0,0,0,,,,,,,2.9.3;2.9.2;2.9.2-rc2;2.9.5-rc1;2.9.5-rc2;2.9.5,6
CVE-2016-4449,xmlStringLenDecodeEntities__internal_alias,0,0,0,,,,2.9.3;2.9.2;2.9.2-rc2;2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2016-4483,xmlBufAttrSerializeTxtContent,0,0,0,,,,2.9.3;2.9.2;2.9.2-rc2;2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2016-4658,xmlXPtrNewCollapsedRange__internal_alias,0,0,0,,,,,2.9.4;2.9.3;2.9.2;2.9.5-rc1;2.9.5-rc2;2.9.5,,,6
CVE-2016-4658,xmlXPtrNewRangeNodeObject__internal_alias,3,0,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,,,6
CVE-2016-4658,xmlXPtrNewRangeNodes__internal_alias,0,0,0,,,,,2.9.4;2.9.3;2.9.2;2.9.5-rc1;2.9.5-rc2;2.9.5,,,6
CVE-2016-4658,xmlXPtrNewRangePoints,0,0,0,,,2.9.4;2.9.3;2.9.2;2.9.5-rc1;2.9.5-rc2;2.9.5,,,,,6
CVE-2016-4658,xmlXPtrNewRangePointNode__internal_alias,0,0,0,,,,,2.9.4;2.9.3;2.9.2;2.9.5-rc1;2.9.5-rc2;2.9.5,,,6
CVE-2016-4658,xmlXPtrNewRangeNodePoint__internal_alias,0,0,0,,,,,2.9.4;2.9.3;2.9.2;2.9.5-rc1;2.9.5-rc2;2.9.5,,,6
CVE-2016-4658,xmlXPtrNewRange__internal_alias,0,0,0,,,,,2.9.4;2.9.3;2.9.2;2.9.5-rc1;2.9.5-rc2;2.9.5,,,6
CVE-2016-4658,xmlXPtrNewRangeInternal,0,0,0,,,2.9.4;2.9.3;2.9.2;2.9.5-rc1;2.9.5-rc2;2.9.5,,,,,6
CVE-2017-16931,xmlParseNameComplex,0,0,0,,,,,,,2.9.4;2.9.3;2.9.2;2.9.5-rc1;2.9.5-rc2;2.9.5,6
CVE-2017-16932,xmlPushInput__internal_alias,3,0,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,,,6
CVE-2017-16932,xmlParsePEReference__internal_alias,0,0,0,,,,2.9.4;2.9.3;2.9.2;2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2017-5130,xmlReallocLoc__internal_alias,0,0,0,,,,,2.9.4;2.9.3;2.9.2;2.9.5-rc1;2.9.5-rc2;2.9.5,,,6
CVE-2017-5130,xmlMallocLoc__internal_alias,3,0,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,,,6
CVE-2017-5130,xmlMemStrdupLoc__internal_alias,3,0,3,,2.9.5-rc1;2.9.5-rc2;2.9.5,,,,,,6
CVE-2017-7375,xmlParsePEReference__internal_alias,0,0,0,,,,2.9.4;2.9.3;2.9.2;2.9.5-rc1;2.9.5-rc2;2.9.5,,,,6
CVE-2018-14404,xmlXPathCompOpEval,0,0,0,,,,2.9.8;2.9.7;2.9.7-rc1;2.9.9-rc1;2.9.9-rc2;2.9.9,,,,6
CVE-2019-19956,xmlParseBalancedChunkMemoryRecover__internal_alias,0,0,0,,,,2.9.9;2.9.9-rc2;2.9.9-rc1;2.9.10-rc1;2.9.10;2.9.11,,,,6
CVE-2020-7595,xmlStringLenDecodeEntities,0,0,0,,,2.9.10;2.9.11;2.9.12;2.9.13,,,,,4
CVE-2022-23308,xmlAddRef__internal_alias,0,0,0,,,,,2.9.11;2.9.12;2.9.10;2.9.13;2.9.14,,2.10.0,6
CVE-2022-23308,xmlRemoveID__internal_alias,0,0,0,,,,,2.9.11;2.9.12;2.9.10;2.9.13;2.9.14,,2.10.0,6
CVE-2022-23308,xmlAddID__internal_alias,0,0,0,,,,2.9.11;2.9.12;2.9.10;2.9.13;2.9.14,,,2.10.0,6
