cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,too_much_diff,cant_tell,no_diff,func_not_found,targets
CVE-2017-14729,elf_x86_64_get_synthetic_symtab,1,1,0,2.29,2.30;2.31,,,,,,4
CVE-2017-14729,elf_i386_get_synthetic_symtab,1,1,0,2.29,2.30;2.31,,,,,,4
CVE-2017-14974,elf_x86_64_get_synthetic_symtab,0,0,0,,,,,2.29;2.29.1;2.30;2.31,,,4
CVE-2017-14974,elf_i386_get_synthetic_symtab,0,0,0,,,,,2.29;2.29.1;2.30;2.31,,,4
CVE-2017-14930,decode_line_info,3,2,1,,,,,,,,3
CVE-2017-14938,_bfd_elf_slurp_version_tables,3,2,1,,,,,,,,3
CVE-2017-14939,decode_line_info,3,2,1,,,,,,,,3
CVE-2017-14940,scan_unit_for_symbols,2,1,1,,2.30,,,,,,3
CVE-2017-15021,bfd_get_debug_link_info_1,2,1,1,,,,,2.31,,,3
CVE-2017-15024,find_abstract_instance_name,2,1,1,,,,,,,2.31,3
CVE-2017-15024,scan_unit_for_symbols,3,2,1,,,,,,,,3
CVE-2017-15025,decode_line_info,3,3,0,2.29,,,,,,,4
CVE-2017-15020,parse_line_table,4,3,1,,,,,,,,4
CVE-2017-15020,parse_die,4,3,1,,,,,,,,4
CVE-2017-15022,scan_unit_for_symbols,4,3,1,,,,,,,,4
CVE-2017-15022,parse_comp_unit,4,3,1,,,,,,,,4
CVE-2017-15023,read_formatted_entries,4,3,1,,,,,,,,4
CVE-2017-14932,decode_line_info,4,3,1,,,,,,,,4
CVE-2017-14933,read_formatted_entries,4,3,1,,,,,,,,4
CVE-2017-15938,find_abstract_instance_name,2,1,1,,,,,,,2.31;2.31.1,4
CVE-2017-15938,parse_comp_unit,4,3,1,,,,,,,,4
CVE-2017-15939,read_formatted_entries,4,3,1,,,,,,,,4
CVE-2017-15939,concat_filename,4,3,1,,,,,,,,4
CVE-2017-15939,decode_line_info,4,3,1,,,,,,,,4
CVE-2017-14934,process_debug_info,1,0,1,,2.30;2.31;2.31.1,,,,,,4
CVE-2017-15225,_bfd_dwarf2_cleanup_debug_info,4,3,1,,,,,,,,4
CVE-2017-16829,_bfd_elf_parse_gnu_properties,4,3,1,,,,,,,,4
CVE-2017-15996,get_archive_member_name,4,3,1,,,,,,,,4
CVE-2017-15996,process_archive_index_and_symbols,4,3,1,,,,,,,,4
CVE-2017-15996,setup_archive,4,3,1,,,,,,,,4
CVE-2017-16830,print_gnu_property_note,4,3,1,,,,,,,,4
CVE-2017-16828,display_augmentation_data,0,0,0,,,2.29.1;2.30;2.31;2.31.1,,,,,4
CVE-2017-16828,display_debug_frames,4,3,1,,,,,,,,4
CVE-2017-16828,read_cie,4,3,1,,,,,,,,4
CVE-2017-16831,coff_get_normalized_symtab,4,3,1,,,,,,,,4
CVE-2017-16831,_bfd_coff_get_external_symbols,4,3,1,,,,,,,,4
CVE-2017-17080,elfcore_grok_netbsd_procinfo,4,3,1,,,,,,,,4
CVE-2017-17080,elfcore_grok_nto_status,4,3,1,,,,,,,,4
CVE-2017-17080,elfcore_grok_openbsd_procinfo,4,3,1,,,,,,,,4
CVE-2017-17124,_bfd_coff_read_string_table,4,3,1,,,,,,,,4
CVE-2017-17122,dump_relocs_in_section,4,3,1,,,,,,,,4
CVE-2017-17126,load_debug_section,1,0,1,,2.30;2.31;2.31.1,,,,2.29.1;2.30;2.31;2.31.1,,4
CVE-2018-7208,coff_pointerize_aux,4,3,1,,,,,,,,4
CVE-2018-6543,load_specific_debug_section,3,2,1,,2.32,,,,,,4
CVE-2018-6759,bfd_get_alt_debug_link_info,4,3,1,,,,,,,,4
CVE-2018-6759,bfd_get_debug_link_info_1,4,3,1,,,,,,,,4
CVE-2018-6872,elf_parse_notes,4,3,1,,,,,,,,4
CVE-2018-7570,assign_file_positions_for_non_load_sections,4,3,1,,,,,,,,4
CVE-2018-7568,parse_die,4,3,1,,,,,,,,4
CVE-2018-7569,read_attribute_value,4,3,1,,,,,,,,4
CVE-2018-7569,read_n_bytes,4,3,1,,,,,,,,4
CVE-2018-7643,display_debug_ranges,4,3,1,,,,,,,,4
CVE-2018-10372,process_cu_tu_index,4,3,1,,,,,,,,4
