cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,too_much_diff,cant_tell,no_diff,func_not_found,targets
CVE-2016-7534,ImportCbYCrYQuantum,0,0,0,,,,7.0.1-1;7.0.1-2;7.0.1-3,,,,3
CVE-2016-10065,IsVIFF,0,0,0,,7.0.1-1;7.0.1-2;7.0.1-3,,,,7.0.1-1;7.0.1-2;7.0.1-3,,3
CVE-2016-10065,ImportGrayQuantum,0,0,0,,,,7.0.1-1;7.0.1-2;7.0.1-3,,,,3
CVE-2016-10065,ReadVIFFImage,0,0,0,,,,7.0.1-1;7.0.1-2;7.0.1-3,,,,3
CVE-2016-5689,ReadDCMImage,0,0,0,,,,7.0.1-6;7.0.1-5;7.0.1-4;7.0.1-8;7.0.1-9;7.0.1-10,,,,6
CVE-2016-5690,ReadDCMImage,0,0,0,,,,7.0.1-6;7.0.1-5;7.0.1-4;7.0.1-8;7.0.1-9;7.0.1-10,,,,6
CVE-2016-5691,ReadDCMImage,0,0,0,,,,7.0.1-6;7.0.1-5;7.0.1-4;7.0.1-8;7.0.1-9;7.0.1-10,,,,6
CVE-2016-10060,ConcatenateImages,0,0,0,,,,,,,7.0.1-1;7.0.1-0;7.0.10-0;7.0.11-0;7.0.11-1;7.0.11-2,6
CVE-2016-10060,MagickUsage,3,0,3,,7.0.11-0;7.0.11-1;7.0.11-2,,,,7.0.1-1;7.0.1-0;7.0.10-0;7.0.11-0;7.0.11-1;7.0.11-2,,6
CVE-2016-6491,Get8BIMProperty,0,0,0,,,,7.0.2-5;7.0.2-4;7.0.2-3;7.0.2-6;7.0.2-7;7.0.2-8,,,,6
CVE-2016-7101,ReadSGIImage,0,0,0,,,,7.0.2-1;7.0.2-0;7.0.1-10;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2016-9556,ReadSGIImage,0,0,0,,,,7.0.3-8;7.0.3-9;7.0.3-10;7.0.4-0,,,,4
CVE-2017-9098,ReadRLEImage,0,0,0,,,,7.0.5-1;7.0.5-0;7.0.4-10;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2017-9499,ReadMPCImage,0,0,0,,,,7.0.5-7;7.0.5-8;7.0.5-9;7.0.5-10,,,,4
CVE-2017-11523,ReadTXTImage,0,0,0,,,,7.0.6-1;7.0.5-8;7.0.5-7;7.0.6-2;7.0.6-3;7.0.6-4,,,,6
CVE-2017-15277,ReadGIFImage,0,0,0,,,,7.0.6-1;7.0.6-3;7.0.6-4;7.0.6-5,,,,4
CVE-2017-14174,ReadPSDLayersInternal,0,0,0,,,,7.0.7-0;7.0.7-1;7.0.7-2;7.0.7-3,,,,4
CVE-2017-14174,ReadPSDChannel,0,0,0,,,,,,,7.0.7-0;7.0.7-1;7.0.7-2;7.0.7-3,4
CVE-2017-15032,ReadYCBCRImage,0,0,0,,,,7.0.7-2;7.0.7-3;7.0.7-4;7.0.7-5,,,,4
CVE-2017-15033,ReadYUVImage,0,0,0,,,,,,,7.0.7-2;7.0.7-3;7.0.7-4;7.0.7-5,4
CVE-2019-12974,ReadLABELImage,0,0,0,,,,7.0.8-34;7.0.8-35;7.0.8-36;7.0.8-37,,,,4
CVE-2019-12974,ReadCAPTIONImage,0,0,0,,,,7.0.8-34;7.0.8-35;7.0.8-36;7.0.8-37,,,,4
CVE-2019-12979,SetImageProperty,0,0,0,,,,7.0.8-34;7.0.8-35;7.0.8-36;7.0.8-37,,,,4
CVE-2019-10131,format8BIM,0,0,0,,,,7.0.7-27;7.0.7-26;7.0.7-25;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2018-16643,ReadCALSImage,0,0,0,,,,7.0.8-4;7.0.8-6;7.0.8-7;7.0.8-8,,,,4
CVE-2018-16643,ReadPWPImage,0,0,0,,,,7.0.8-4;7.0.8-6;7.0.8-7;7.0.8-8,,,,4
CVE-2018-16643,ReadPICTImage,0,0,0,,,,7.0.8-4;7.0.8-6;7.0.8-7;7.0.8-8,,,,4
CVE-2018-16643,ReadDCMImage,0,0,0,,,,7.0.8-4;7.0.8-6;7.0.8-7;7.0.8-8,,,,4
CVE-2018-16644,ReadDCMImage,0,0,0,,,,7.0.8-11;7.0.8-12;7.0.8-13;7.0.8-14,,,,4
CVE-2018-16645,ReadBMPImage,0,0,0,,,,,,,7.0.8-11;7.0.8-12;7.0.8-13;7.0.8-14,4
