CVE,funcname,succeed,false_positive,false_negative,failed_versions,no_diff,func_not_found,targets
CVE-2017-12998,isis_print_extd_ip_reach,4,,,,,,4
CVE-2017-12999,isis_print,3,,6e15ad4b9938,,,,4
CVE-2017-13000,ieee802_15_4_if_print,2,,10dd76aef1d2,,,,3
CVE-2017-13002,aodv_extension,3,,ef5323efe6c0,,,,4
CVE-2017-13003,lmp_print,4,,,,,,4
CVE-2017-13004,juniper_parse_header,0,,480af1cdceda;57be4eb7ed49;3712d818767d;e2982e7f6f0b,,,,4
CVE-2017-13005,xid_map_enter,0,,224629731a82;da20bc56d610;0ee15606e2bd;577621026df8,,,,4
CVE-2017-13006,l2tp_result_code_print,4,,,,,,4
CVE-2017-13006,print_32bits_val,0,,cfa9ab5f80dd;e2982e7f6f0b;577621026df8;ee68aa36460d,,,,4
CVE-2017-13006,l2tp_framing_cap_print,4,,,,,,4
CVE-2017-13006,l2tp_packet_proc_delay_print,0,,cfa9ab5f80dd;e2982e7f6f0b;577621026df8;ee68aa36460d,,,,4
CVE-2017-13006,l2tp_ppp_discon_cc_print,4,,,,,,4
CVE-2017-13006,l2tp_avp_print,2,,cfa9ab5f80dd;ee68aa36460d,,,,4
CVE-2017-13006,l2tp_bearer_type_print,4,,,,,,4
CVE-2017-13006,l2tp_bearer_cap_print,4,,,,,,4
CVE-2017-13009,mobility_print,4,,,,,,4
CVE-2017-13011,bittok2str_internal,2,,,,,,2
CVE-2017-13012,icmp_print,4,,,,,,4
CVE-2017-13013,atmarp_print,0,,e2982e7f6f0b;306c2a0384af;84ef17ac0eec;1af20c3adc4d,,,,4
CVE-2017-13013,isnonzero,0,,e2982e7f6f0b;306c2a0384af;84ef17ac0eec;1af20c3adc4d,,,,4
CVE-2017-13013,arp_print,0,,e2982e7f6f0b;306c2a0384af;84ef17ac0eec;1af20c3adc4d,,,,4
CVE-2017-13013,atmarp_addr_print,0,,e2982e7f6f0b;306c2a0384af;84ef17ac0eec;1af20c3adc4d,,,,4
CVE-2017-13014,wb_prep,4,,,,,,4
CVE-2017-13014,wb_print,4,,,,,,4
CVE-2017-13015,eap_print,0,,e10fe19f4578;5cea2703185c;e2982e7f6f0b;61d5da84a02a,,,,4
CVE-2017-13016,esis_print,4,,,,,,4
CVE-2017-13017,dhcp6opt_print,4,,,,,,4
CVE-2017-13018,pgm_print,0,,51e180c4fb05;a95802aa0d87;57caa8d3383f;e2982e7f6f0b,,,,4
CVE-2017-13019,pgm_print,4,,,,,,4
CVE-2017-13020,vtp_print,2,,57ff158eb0b5;abc8c2d61c65,,,,4
CVE-2017-13021,icmp6_print,4,,,,,,4
CVE-2017-13022,ip_optprint,2,,39c8c55aa9ff;00b189d27cd2,,,,4
CVE-2017-13022,ip_printroute,3,,c98ea428912f,,,,4
CVE-2017-13023,mobility_opt_print,4,,,,,,4
CVE-2017-13024,mobility_opt_print,4,,,,,,4
CVE-2017-13025,mobility_opt_print,4,,,,,,4
CVE-2017-13026,isis_print_mt_capability_subtlv,2,,51e180c4fb05;0fa0692de376,,,,4
CVE-2017-13026,isis_print_mt_port_cap_subtlv,4,,,,,,4
CVE-2017-13028,bootp_print,4,,,,,,4
CVE-2017-13029,print_ipcp_config_options,0,,84ef17ac0eec;ee68aa36460d;e2982e7f6f0b;ff1c209392b2,,,,4
CVE-2017-13029,print_bacp_config_options,0,,84ef17ac0eec;ee68aa36460d;e2982e7f6f0b;ff1c209392b2,,,,4
CVE-2017-13029,print_ccp_config_options,4,,,,,,4
CVE-2017-13029,print_lcp_config_options,0,,84ef17ac0eec;ee68aa36460d;e2982e7f6f0b;ff1c209392b2,,,,4
CVE-2017-13030,pimv2_addr_print,4,,,,,,4
CVE-2017-13030,pim_print,4,,,,,,4
CVE-2017-13030,pimv1_print,1,,315fe447eadb;e2982e7f6f0b;8c8d5ecba440,,,,4
CVE-2017-13030,pimv1_join_prune_print,1,,315fe447eadb;e2982e7f6f0b;8c8d5ecba440,,,,4
CVE-2017-13030,pimv2_print,4,,,,,,4
CVE-2017-13030,cisco_autorp_print,1,,315fe447eadb;e2982e7f6f0b;8c8d5ecba440,,,,4
CVE-2017-13031,frag6_print,2,,d7a661b5d3e7;2e943ce0c947,,,,4
CVE-2017-13032,print_attr_string,4,,,,,,4
CVE-2017-13033,vtp_print,2,,3e3e6d2ef4c1;40ae3ad744d9,,,,4
CVE-2017-13034,pgm_print,4,,,,,,4
CVE-2017-13035,isis_print_id,3,,,,,,3
CVE-2017-13036,ospf6_decode_v3,4,,,,,,4
CVE-2017-13037,ip_optprint,4,,,,,,4
CVE-2017-13037,nextproto4_cksum,0,,6bb65331a5f9;ee68aa36460d;64677b0d78ff;e2982e7f6f0b,,,,4
CVE-2017-13037,ip_printts,1,,ee68aa36460d;64677b0d78ff;e2982e7f6f0b,,,,4
CVE-2017-13038,handle_mlppp,4,,,,,,4
CVE-2017-13039,ikev1_t_print,4,,,,,,4
CVE-2017-13039,ikev1_n_print,4,,,,,,4
CVE-2017-13039,ikev2_t_print,4,,,,,,4
CVE-2017-13039,ikev1_attrmap_print,3,,abc8c2d61c65,,,,4
CVE-2017-13040,mp_capable_print,0,,1c75daed55fc;afb52045ddc8;bf8990f63b15;3ebae8948826,,,,4
CVE-2017-13040,mp_join_print,0,,1c75daed55fc;afb52045ddc8;bf8990f63b15;3ebae8948826,,,,4
CVE-2017-13041,icmp6_nodeinfo_print,4,,,,,,4
CVE-2017-13043,decode_multicast_vpn,0,,1ed63b5d0630;07a7f33ba3ff;1a859e9f5ce9;51e180c4fb05,,,,4
CVE-2017-13045,vqp_print,4,,,,,,4
CVE-2017-13046,bgp_attr_print,0,,f9c2c905b118;e2982e7f6f0b;abc8c2d61c65;3b8ff4bf0d8f,,,,4
CVE-2017-13047,esis_print,0,,74d0778d0ce7;e2982e7f6f0b;d526e47658b6;228f225ca02d,,,,4
CVE-2017-13048,rsvp_obj_print,4,,,,,,4
CVE-2017-13049,ubik_print,0,,ee68aa36460d;3c8f3e13b033;5cea2703185c;e2982e7f6f0b,,,,4
CVE-2017-13050,indent_string,0,,3ed92cd021a6;abc8c2d61c65;577621026df8;3e3e6d2ef4c1,,,,4
CVE-2017-13050,rpki_rtr_pdu_print,4,,,,,,4
CVE-2017-13051,rsvp_obj_print,0,,226c6a8d0f90;7ceb3ae2a66c;e2982e7f6f0b;32d1d15c5412,,,,4
CVE-2017-13052,cfm_network_addr_print,4,,,,,,4
CVE-2017-13052,cfm_print,4,,,,,,4
CVE-2017-13053,decode_rt_routing_info,4,,,,,,4
CVE-2017-13055,isis_print_is_reach_subtlv,0,,,,,0b3880c91e16;7217abf41a06;eebb3f48e30f;3e3e6d2ef4c1,4
CVE-2017-13687,chdlc_print,4,,,,,,4
CVE-2017-13688,olsr_print,4,,,,,,4
CVE-2017-13689,ikev1_id_print,4,,,,,,4
CVE-2017-13690,ikev1_sub_print,0,,d526e47658b6;9a6a6502413e;e2982e7f6f0b;84ef17ac0eec,,,,4
CVE-2017-13690,ikev1_cr_print,0,,d526e47658b6;9a6a6502413e;e2982e7f6f0b;84ef17ac0eec,,,,4
CVE-2017-13690,ikev1_sig_print,0,,d526e47658b6;9a6a6502413e;e2982e7f6f0b;84ef17ac0eec,,,,4
CVE-2017-13690,ikev1_cert_print,0,,d526e47658b6;9a6a6502413e;e2982e7f6f0b;84ef17ac0eec,,,,4
CVE-2017-13690,ikev2_ID_print,4,,,,,,4
CVE-2017-13690,ikev2_vid_print,0,,d526e47658b6;9a6a6502413e;e2982e7f6f0b;84ef17ac0eec,,,,4
CVE-2017-13690,ikev2_gen_print,0,,d526e47658b6;9a6a6502413e;e2982e7f6f0b;84ef17ac0eec,,,,4
CVE-2017-13690,ikev1_hash_print,0,,d526e47658b6;9a6a6502413e;e2982e7f6f0b;84ef17ac0eec,,,,4
CVE-2017-13690,ikev2_sa_print,0,,d526e47658b6;9a6a6502413e;e2982e7f6f0b;84ef17ac0eec,,,,4
CVE-2017-13690,ikev2_sub_print,0,,d526e47658b6;9a6a6502413e;e2982e7f6f0b;84ef17ac0eec,,,,4
CVE-2017-13690,ikev1_vid_print,0,,d526e47658b6;9a6a6502413e;e2982e7f6f0b;84ef17ac0eec,,,,4
CVE-2017-13690,ikev2_auth_print,4,,,,,,4
CVE-2017-13690,ikev2_p_print,0,,d526e47658b6;9a6a6502413e;e2982e7f6f0b;84ef17ac0eec,,,,4
CVE-2017-13690,ikev2_ke_print,4,,,,,,4
CVE-2017-13690,ikev1_ke_print,0,,d526e47658b6;9a6a6502413e;e2982e7f6f0b;84ef17ac0eec,,,,4
CVE-2017-13725,rt6_print,4,,,,,,4
