Version,Release Time
2.5.6,2015-04-19 13:56
2.5.7,2015-06-04 21:33
2.5.8,2015-07-31 03:48
2.5.9,2015-12-07 03:54
2.5.10,2016-01-16 04:09
2.5.11,2016-02-03 00:10
2.6,2015-03-07 01:10
2.6.1,2015-03-16 21:44
2.6.2,2015-04-12 02:05
2.6.3,2015-06-04 21:31
2.6.4,2015-07-25 02:07
2.6.5,2015-11-23 04:42
2.6.6,2015-12-22 19:24
2.6.7,2016-01-15 23:34
2.6.8,2016-02-01 04:45
2.6.9,2016-05-03 05:26
2.7,2015-06-10 02:43
2.7.1,2015-06-19 23:58
2.7.2,2015-07-20 04:43
2.7.3,2015-11-19 04:50
2.7.4,2015-12-21 20:01
2.7.5,2016-01-15 19:36
2.7.6,2016-02-01 03:56
2.7.7,2016-04-30 18:25
2.8,2015-09-09 05:16
2.8.1,2015-10-14 05:35
2.8.2,2015-11-12 03:50
2.8.3,2015-11-27 16:53
2.8.4,2015-12-20 04:20
2.8.5,2016-01-15 19:09
2.8.6,2016-02-01 03:06
2.8.7,2016-04-29 15:23
2.8.8,2016-09-19 04:54
2.8.9,2016-12-04 04:18
2.8.10,2016-12-06 05:09
2.8.11,2017-02-09 18:45
2.8.12,2017-06-06 04:41
2.8.13,2017-09-02 04:00
2.8.14,2018-02-19 03:32
2.8.15,2018-07-16 14:15
2.8.16,2020-04-28 00:50
2.8.17,2020-07-07 21:49
2.8.18,2021-10-21 01:46
2.8.19,2022-04-27 00:27
2.8.20,2022-05-15 01:26
2.8.21,2022-10-30 23:12
2.8.22,2023-10-29 02:36
3.0,2016-02-15 05:19
3.0.1,2016-03-29 05:38
3.0.2,2016-04-28 04:45
3.0.3,2016-09-05 04:47
3.0.4,2016-10-19 02:58
3.0.5,2016-12-06 01:07
3.0.6,2017-02-05 03:18
3.0.7,2017-02-11 16:44
3.0.8,2017-05-18 15:12
3.0.9,2017-07-19 16:25
3.0.10,2017-12-02 02:45
3.0.11,2018-02-28 14:50
3.0.12,2018-10-28 03:19
