cve,project,commit,func,score,label,stage,binary
CVE-2017-13690,tcpdump,9a6a6502413e,ikev2_ID_print,-0.499,V,3,/binaries/PatchEvolution/tcpdump/CVE-2017-13690-9a6a6502413e-tcpdump
CVE-2017-13690,tcpdump,e2982e7f6f0b,ikev2_ID_print,-0.375,V,4,/binaries/PatchEvolution/tcpdump/CVE-2017-13690-e2982e7f6f0b-tcpdump
CVE-2017-13690,tcpdump,d526e47658b6,ikev2_ID_print,-0.375,V,2,/binaries/PatchEvolution/tcpdump/CVE-2017-13690-d526e47658b6-tcpdump
CVE-2017-13690,tcpdump,84ef17ac0eec,ikev2_ID_print,0.845,P,1,/binaries/PatchEvolution/tcpdump/CVE-2017-13690-84ef17ac0eec-tcpdump
CVE-2017-13725,tcpdump,ee68aa36460d,rt6_print,0.342,P,3,/binaries/PatchEvolution/tcpdump/CVE-2017-13725-ee68aa36460d-tcpdump
CVE-2017-13725,tcpdump,7ae157995426,rt6_print,0.342,P,2,/binaries/PatchEvolution/tcpdump/CVE-2017-13725-7ae157995426-tcpdump
CVE-2017-13725,tcpdump,e2982e7f6f0b,rt6_print,0.361,P,4,/binaries/PatchEvolution/tcpdump/CVE-2017-13725-e2982e7f6f0b-tcpdump
CVE-2017-13725,tcpdump,7755951df76e,rt6_print,0.315,P,1,/binaries/PatchEvolution/tcpdump/CVE-2017-13725-7755951df76e-tcpdump
CVE-2013-0338,libxml2,d320a683d146,xmlParserEntityCheck,0.44,P,1,/binaries/PatchEvolution/libxml2/CVE-2013-0338-d320a683d146-libxml2
CVE-2013-0338,libxml2,66e9fd66e8fb,xmlParserEntityCheck,0.44,P,2,/binaries/PatchEvolution/libxml2/CVE-2013-0338-66e9fd66e8fb-libxml2
CVE-2013-0338,libxml2,7fbd454d9f70,xmlParserEntityCheck,0.44,P,3,/binaries/PatchEvolution/libxml2/CVE-2013-0338-7fbd454d9f70-libxml2
CVE-2013-0338,libxml2,ce76ebfd1312,xmlParserEntityCheck,0.74,P,4,/binaries/PatchEvolution/libxml2/CVE-2013-0338-ce76ebfd1312-libxml2
CVE-2015-7500,libxml2,b48226f78c62,xmlParseStartTag2,0.233,P,4,/binaries/PatchEvolution/libxml2/CVE-2015-7500-b48226f78c62-libxml2
CVE-2015-7500,libxml2,5f440d8cadea,xmlParseStartTag2,0.233,P,2,/binaries/PatchEvolution/libxml2/CVE-2015-7500-5f440d8cadea-libxml2
CVE-2015-7500,libxml2,04d1bedd8c3f,xmlParseStartTag2,0.233,P,1,/binaries/PatchEvolution/libxml2/CVE-2015-7500-04d1bedd8c3f-libxml2
CVE-2015-7500,libxml2,b75976e02999,xmlParseStartTag2,0.233,P,3,/binaries/PatchEvolution/libxml2/CVE-2015-7500-b75976e02999-libxml2
CVE-2015-7941,libxml2,c1035664f989,xmlParseConditionalSections,0.825,P,1,/binaries/PatchEvolution/libxml2/CVE-2015-7941-c1035664f989-libxml2
CVE-2015-7941,libxml2,2a350ee9b47a,xmlParseConditionalSections,0.825,P,3,/binaries/PatchEvolution/libxml2/CVE-2015-7941-2a350ee9b47a-libxml2
CVE-2015-7941,libxml2,e3b1597421ad,xmlParseConditionalSections,0.825,P,4,/binaries/PatchEvolution/libxml2/CVE-2015-7941-e3b1597421ad-libxml2
CVE-2015-7941,libxml2,4472c3a5a5b5,xmlParseConditionalSections,0.825,P,2,/binaries/PatchEvolution/libxml2/CVE-2015-7941-4472c3a5a5b5-libxml2
CVE-2015-8241,libxml2,2a350ee9b47a,xmlParseMarkupDecl__internal_alias,0.325,P,2,/binaries/PatchEvolution/libxml2/CVE-2015-8241-2a350ee9b47a-libxml2
CVE-2017-5130,libxml2,ed48d65b4d6c,xmlMallocLoc__internal_alias,0.813,P,,/binaries/PatchEvolution/libxml2/CVE-2017-5130-ed48d65b4d6c-libxml2
CVE-2017-5130,libxml2,ed48d65b4d6c,xmlMemStrdupLoc__internal_alias,0.424,P,1,/binaries/PatchEvolution/libxml2/CVE-2017-5130-ed48d65b4d6c-libxml2
