cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,no_diff,func_not_found,targets
CVE-2017-11523,ReadTXTImage,3,3,0,7.0.6-1;7.0.5-8;7.0.5-7,,,,,6
CVE-2017-15277,ReadGIFImage,1,0,1,,7.0.6-3;7.0.6-4;7.0.6-5,,,,4
CVE-2017-14174,ReadPSDLayersInternal,1,0,1,,7.0.7-1;7.0.7-2;7.0.7-3,,,,4
CVE-2017-14174,ReadPSDChannel,0,0,0,,,,,7.0.7-0;7.0.7-1;7.0.7-2;7.0.7-3,4
CVE-2017-15032,ReadYCBCRImage,1,0,1,,7.0.7-3;7.0.7-4;7.0.7-5,,,,4
CVE-2017-15033,ReadYUVImage,1,0,1,,7.0.7-3;7.0.7-4;7.0.7-5,,,,4
CVE-2019-12974,ReadLABELImage,3,3,0,7.0.8-34,,,,,4
CVE-2019-12974,ReadCAPTIONImage,3,3,0,7.0.8-34,,,,,4
CVE-2019-12979,SetImageProperty,1,0,1,,7.0.8-35;7.0.8-36;7.0.8-37,,,,4
CVE-2019-10131,format8BIM,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2018-16643,ReadCALSImage,3,3,0,7.0.8-4,,,,,4
CVE-2018-16643,ReadPWPImage,3,3,0,7.0.8-4,,,,,4
CVE-2018-16643,ReadPICTImage,3,3,0,7.0.8-4,,,,,4
CVE-2018-16643,ReadDCMImage,3,3,0,7.0.8-4,,,,,4
CVE-2018-16644,ReadDCMImage,3,3,0,7.0.8-11,,,,,4
CVE-2018-16645,ReadBMPImage,1,0,1,,7.0.8-12;7.0.8-13;7.0.8-14,,,,4
CVE-2018-20467,ReadBMPImage,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2019-12978,ReadCAPTIONImage,1,0,1,,7.0.8-35;7.0.8-36;7.0.8-37,,,,4
CVE-2019-7175,DecodeImage,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2019-7395,WritePSDChannel,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2019-7396,ReadSIXELImage,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2019-7398,WriteDIBImage,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2019-11470,ReadCINImage,3,3,0,,,,,,3
CVE-2019-10714,LocaleLowercase,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2019-10714,LocaleUppercase,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2019-12975,WriteDPXImage,3,3,0,7.0.8-34,,,,,4
CVE-2019-12976,ReadPCLImage,1,0,1,,7.0.8-35;7.0.8-36;7.0.8-37,,,,4
CVE-2019-10649,SVGEndElement,3,3,0,,,,,,3
CVE-2019-10650,WriteTIFFImage,0,0,0,,,,,7.0.8-36;7.0.8-37;7.0.8-38,3
CVE-2019-16711,WritePS2Image,1,0,1,,7.0.8-41;7.0.8-42;7.0.8-43,,,,4
CVE-2019-16711,Huffman2DEncodeImage,1,0,1,,7.0.8-41;7.0.8-42;7.0.8-43,,,,4
CVE-2019-11472,ReadXWDImage,3,3,0,,,,,,3
CVE-2019-14981,MeanShiftImage,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2019-15139,RegisterXWDImage,0,0,0,,7.0.8-42;7.0.8-43;7.0.8-44,,,,3
CVE-2019-15139,ReadXWDImage,0,0,0,,7.0.8-42;7.0.8-43;7.0.8-44,,,,3
CVE-2019-19949,Magick_png_write_raw_profile,0,0,0,,,,,7.0.8-42;7.0.8-41;7.0.8-40;7.0.8-43;7.0.8-44;7.0.8-45,6
CVE-2019-13133,ReadBMPImage,6,3,3,,,,,,6
CVE-2019-13133,ReadVIFFImage,3,3,0,7.0.8-49;7.0.8-48;7.0.8-47,,,,,6
CVE-2019-13134,ReadBMPImage,6,3,3,,,,,,6
CVE-2019-13134,ReadVIFFImage,3,3,0,7.0.8-49;7.0.8-48;7.0.8-47,,,,,6
CVE-2019-13136,TIFFSeekCustomStream,0,0,0,,,,,7.0.8-49;7.0.8-48;7.0.8-47;7.1.0-0;7.1.0-1;7.1.0-2,6
CVE-2019-13137,ReadPSImage,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2019-13307,AcquirePixelThreadSet,0,0,0,,7.0.8-50;7.0.8-51;7.0.8-53,,,,3
CVE-2019-17541,ReadICCProfile,0,0,0,,,,,7.0.8-54;7.0.8-53;7.0.8-52;7.1.0-0;7.1.0-1;7.1.0-2,6
CVE-2019-17541,ReadIPTCProfile,0,0,0,,,,,7.0.8-54;7.0.8-53;7.0.8-52;7.1.0-0;7.1.0-1;7.1.0-2,6
CVE-2019-17547,TraceBezier,6,3,3,,,,,,6
CVE-2020-27750,PixelSyncIterator,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-27762,WriteHDRImage,3,3,0,7.0.8-67;7.0.8-66;7.0.8-65,,,,,6
CVE-2020-25664,WriteOnePNGImage,3,0,3,,7.0.8-68;7.0.9-0;7.0.9-1,,,,6
CVE-2020-25665,WritePALMImage,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-25674,WriteOnePNGImage,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-27760,GammaImage,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-27760,LevelPixel,0,0,0,,,,,7.0.8-67;7.0.8-66;7.0.8-65;7.1.0-0;7.1.0-1;7.1.0-2,6
CVE-2020-27763,AcquireResizeFilter,6,3,3,,,,,,6
CVE-2020-27758,ReadTXTImage,3,3,0,7.0.8-67;7.0.8-66;7.0.8-65,,,,,6
CVE-2020-27770,SubstituteString,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-25663,SetImageAlphaChannel,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-27756,ParseMetaGeometry,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-27751,SetQuantumDepth,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-27761,WritePALMImage,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-25675,CropImageToTiles,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-25675,CropImage,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-25676,InterpolatePixelInfo,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-25676,InterpolatePixelChannel,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-25676,InterpolatePixelChannels,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-25676,MeshInterpolate,0,0,0,,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,6
CVE-2020-25676,CatromWeights,0,0,0,,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,6
CVE-2020-27765,OptimalTau,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-27765,Classify,0,0,0,,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,6
CVE-2020-27775,ApplyEvaluateOperator,3,3,0,7.0.8-68;7.0.8-67;7.0.8-66,,,,,6
CVE-2020-27774,ApplyEvaluateOperator,3,3,0,7.0.8-68;7.0.8-67;7.0.8-66,,,,,6
CVE-2020-27769,PosterizeImage,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-25666,HistogramCompare,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-25667,TIFFGetProfiles,0,0,0,,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,6
CVE-2020-25667,TIFFGetEXIFProperties,0,0,0,,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,6
CVE-2020-27772,WriteBMPImage,6,3,3,,,,,,6
CVE-2020-27752,WriteOnePNGImage,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-27753,WriteMIFFImage,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-27753,PopRunlengthPacket,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-27753,ReadMIFFImage,6,3,3,,,,,,6
CVE-2020-27753,PushRunlengthPacket,0,0,0,,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,6
CVE-2020-27755,SetImageExtent,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2019-18853,ReadSVGImage,6,3,3,,,,,,6
CVE-2020-19667,ReadXPMImage,1,0,1,,7.0.10-8;7.0.10-9;7.0.10-10,,,,4
CVE-2021-3596,ReadSVGImage,3,3,0,7.0.10-30;7.0.10-29;7.0.10-28,,,,,6
CVE-2020-27560,OptimizeLayerFrames,4,3,1,,,,,,4
CVE-2020-27829,ReadTIFFImage,0,0,0,,,,,7.0.10-44;7.0.10-43;7.0.10-42;7.0.10-46;7.0.10-47;7.0.10-48,6
CVE-2022-48541,MogrifyImageCommand,1,0,1,,7.0.10-46;7.0.10-47;7.0.10-48,,,,4
CVE-2022-48541,AnimateImageCommand,3,3,0,7.0.10-45,,,,,4
CVE-2022-48541,MontageImageCommand,1,0,1,,7.0.10-46;7.0.10-47;7.0.10-48,,,,4
CVE-2022-48541,StreamImageCommand,1,0,1,,7.0.10-46;7.0.10-47;7.0.10-48,,,,4
CVE-2022-48541,ConjureImageCommand,3,3,0,7.0.10-45,,,,,4
CVE-2022-48541,IdentifyImageCommand,3,3,0,7.0.10-45,,,,,4
CVE-2022-48541,CompareImagesCommand,3,3,0,7.0.10-45,,,,,4
CVE-2022-48541,ConvertImageCommand,1,0,1,,7.0.10-46;7.0.10-47;7.0.10-48,,,,4
CVE-2022-48541,ImportImageCommand,3,3,0,7.0.10-45,,,,,4
CVE-2022-48541,DisplayImageCommand,3,3,0,7.0.10-45,,,,,4
CVE-2022-48541,CompositeImageCommand,1,0,1,,7.0.10-46;7.0.10-47;7.0.10-48,,,,4
CVE-2021-20176,GenerateDifferentialNoise,3,3,0,7.0.10-55;7.0.10-54;7.0.10-53,,,,,6
CVE-2021-20244,ImplodeImage,3,0,3,,7.0.10-62;7.0.11-0;7.0.11-1,,,,6
CVE-2021-20246,ScaleResampleFilter,3,0,3,,7.0.10-62;7.0.11-0;7.0.11-1,,,,6
CVE-2021-20311,EncipherAESBlock,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20311,PasskeyEncipherImage,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20311,TransformsRGBImage,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20311,PasskeyDecipherImage,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20311,RelinquishVirtualMemory,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20311,sRGBTransformImage,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20311,WriteTHUMBNAILImage,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20312,EncipherAESBlock,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20312,PasskeyEncipherImage,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20312,TransformsRGBImage,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20312,PasskeyDecipherImage,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20312,RelinquishVirtualMemory,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20312,sRGBTransformImage,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20312,WriteTHUMBNAILImage,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20313,EncipherAESBlock,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20313,PasskeyEncipherImage,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20313,TransformsRGBImage,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20313,PasskeyDecipherImage,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20313,RelinquishVirtualMemory,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20313,sRGBTransformImage,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20313,WriteTHUMBNAILImage,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20309,WaveImage,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20310,ConvertXYZToJzazbz,0,0,0,,,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,6
CVE-2021-3574,ReadTIFFImage,0,0,0,,,,,7.0.11-5;7.0.11-8;7.0.11-9;7.0.11-10,4
CVE-2021-3610,ReadTIFFImage,0,0,0,,,,,7.0.11-13;7.0.11-12;7.0.11-11;7.0.11-14;7.1.0-0;7.1.0-1,6
CVE-2023-34153,ReadVIDEOImage,1,0,1,7.1.0-1;7.1.0-2,7.1.1-11;7.1.1-12;7.1.1-13,,,,6
CVE-2023-34153,IsVIDEO,3,0,3,,7.1.1-11;7.1.1-12;7.1.1-13,,,,6
CVE-2023-3195,ReadTIFFImage,0,0,0,,,,,7.1.1-0;7.1.1-1;7.1.1-2;7.1.1-3;7.1.1-4,5
CVE-2021-3962,ReadDCMImage,1,0,1,,7.1.0-15;7.1.0-16;7.1.0-17,,,,4
CVE-2022-0284,WritePICONImage,3,0,3,,7.1.0-20;7.1.0-21;7.1.0-22,,,,6
CVE-2022-32545,ReadPSDChannelPixels,3,0,3,,7.1.0-28;7.1.0-29;7.1.0-30,,,,6
CVE-2022-1115,ReadTIFFImage,0,0,0,,,,,7.1.0-28;7.1.0-27;7.1.0-26;7.1.0-29;7.1.0-30;7.1.0-31,6
CVE-2022-32546,ReadPCLImage,3,0,3,,7.1.0-29;7.1.0-30;7.1.0-31,,,,6
CVE-2022-28463,ReadCINImage,3,3,0,7.1.0-27,,,,,4
CVE-2022-32547,GetEXIFProperty,3,0,3,,7.1.0-30;7.1.0-31;7.1.0-32,,,,6
CVE-2022-3213,ReadTIFFImage,0,0,0,,,,,7.1.0-46;7.1.0-45;7.1.0-44;7.1.0-48;7.1.0-49;7.1.0-50,6
CVE-2023-1289,DrawPrimitive,3,0,3,,7.1.1-0;7.1.1-1;7.1.1-2,,,,6
CVE-2023-1906,ReadTIFFImage,0,0,0,,,,,7.1.1-4;7.1.1-6;7.1.1-7;7.1.1-8,4
CVE-2023-34474,ReadTIM2ImageData,0,0,0,,,,,7.1.1-1;7.1.1-0;7.1.0-62;7.1.1-10;7.1.1-11;7.1.1-12,6
CVE-2023-34474,ReplaceXmpValue,0,0,0,,7.1.1-10;7.1.1-11;7.1.1-12,,,7.1.1-1;7.1.1-0;7.1.0-62,6
