cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,no_diff,func_not_found,targets
CVE-2017-13002,aodv_extension,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-13003,lmp_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-13004,juniper_parse_header,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13005,xid_map_enter,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13006,l2tp_result_code_print,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13006,print_32bits_val,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13006,l2tp_framing_cap_print,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13006,l2tp_packet_proc_delay_print,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13006,l2tp_ppp_discon_cc_print,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13006,l2tp_avp_print,3,0,3,,,,,4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13006,l2tp_bearer_type_print,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13006,l2tp_bearer_cap_print,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13007,pktap_if_print,6,3,3,,,,,,6
CVE-2017-13008,parse_elements,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13009,mobility_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-13011,bittok2str_internal,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13012,icmp_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-13013,atmarp_print,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13013,isnonzero,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13013,arp_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13013,atmarp_addr_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13014,wb_prep,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13014,wb_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-13015,eap_print,5,2,3,,4.9.3,,,,6
CVE-2017-13016,esis_print,0,0,0,,4.99.0-bp;4.99-bp,,,4.9.1;4.9.0;4.8.1;4.9.3,6
CVE-2017-13017,dhcp6opt_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-13018,pgm_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-13019,pgm_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-13020,vtp_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-13021,icmp6_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
