project,cve_id,commit,function,basic_blocks,binary_file
tcpdump,CVE-2017-13690,8dca25d26c7c,ikev2_ID_print,58,CVE-2017-13690-patch-8dca25d26c7c-tcpdump
tcpdump,CVE-2017-13690,8dca25d26c7c,ikev2_vid_print,40,CVE-2017-13690-patch-8dca25d26c7c-tcpdump
tcpdump,CVE-2017-13690,8dca25d26c7c,ikev2_gen_print,28,CVE-2017-13690-patch-8dca25d26c7c-tcpdump
tcpdump,CVE-2017-13690,8dca25d26c7c,ikev1_hash_print,26,CVE-2017-13690-patch-8dca25d26c7c-tcpdump
tcpdump,CVE-2017-13690,8dca25d26c7c,ikev2_sa_print,54,CVE-2017-13690-patch-8dca25d26c7c-tcpdump
tcpdump,CVE-2017-13690,8dca25d26c7c,ikev2_sub_print,33,CVE-2017-13690-patch-8dca25d26c7c-tcpdump
tcpdump,CVE-2017-13690,8dca25d26c7c,ikev1_vid_print,26,CVE-2017-13690-patch-8dca25d26c7c-tcpdump
tcpdump,CVE-2017-13690,8dca25d26c7c,ikev2_auth_print,35,CVE-2017-13690-patch-8dca25d26c7c-tcpdump
tcpdump,CVE-2017-13690,8dca25d26c7c,ikev2_p_print,66,CVE-2017-13690-patch-8dca25d26c7c-tcpdump
tcpdump,CVE-2017-13690,8dca25d26c7c,ikev2_ke_print,37,CVE-2017-13690-patch-8dca25d26c7c-tcpdump
tcpdump,CVE-2017-13690,8dca25d26c7c,ikev1_ke_print,26,CVE-2017-13690-patch-8dca25d26c7c-tcpdump
tcpdump,CVE-2017-13041,f4b9e24c7384,icmp6_nodeinfo_print,252,CVE-2017-13041-patch-f4b9e24c7384-tcpdump
tcpdump,CVE-2017-13029,7029d15f148e,print_ipcp_config_options,81,CVE-2017-13029-patch-7029d15f148e-tcpdump
tcpdump,CVE-2017-13029,7029d15f148e,print_bacp_config_options,30,CVE-2017-13029-patch-7029d15f148e-tcpdump
tcpdump,CVE-2017-13029,7029d15f148e,print_ccp_config_options,53,CVE-2017-13029-patch-7029d15f148e-tcpdump
tcpdump,CVE-2017-13029,7029d15f148e,print_lcp_config_options,160,CVE-2017-13029-patch-7029d15f148e-tcpdump
tcpdump,CVE-2017-13023,b8e559afaeb8,mobility_opt_print,59,CVE-2017-13023-patch-b8e559afaeb8-tcpdump
tcpdump,CVE-2017-13032,1bc78d795cd5,print_attr_string,44,CVE-2017-13032-patch-1bc78d795cd5-tcpdump
tcpdump,CVE-2017-12995,3a76fd7c95fc,ns_nprint,52,CVE-2017-12995-patch-3a76fd7c95fc-tcpdump
tcpdump,CVE-2018-16230,13d52e9c0e7c,bgp_attr_print,838,CVE-2018-16230-patch-13d52e9c0e7c-tcpdump
tcpdump,CVE-2017-12901,de981e6070d1,eigrp_print,169,CVE-2017-12901-patch-de981e6070d1-tcpdump
tcpdump,CVE-2017-13047,331530a4076c,esis_print,187,CVE-2017-13047-patch-331530a4076c-tcpdump
tcpdump,CVE-2017-13036,88b2dac837e8,ospf6_decode_v3,96,CVE-2017-13036-patch-88b2dac837e8-tcpdump
tcpdump,CVE-2017-12896,f76e7feb41a4,isakmp_rfc3948_print,28,CVE-2017-12896-patch-f76e7feb41a4-tcpdump
tcpdump,CVE-2018-16229,211124b972e7,dccp_print_option,136,CVE-2018-16229-patch-211124b972e7-tcpdump
tcpdump,CVE-2017-12985,66df248b4909,ip6_print,107,CVE-2017-12985-patch-66df248b4909-tcpdump
tcpdump,CVE-2017-12985,66df248b4909,mobility_print,116,CVE-2017-12985-patch-66df248b4909-tcpdump
tcpdump,CVE-2017-12898,19d25dd87816,parserep,17,CVE-2017-12898-patch-19d25dd87816-tcpdump
tcpdump,CVE-2017-12898,19d25dd87816,nfsreq_print_noaddr,220,CVE-2017-12898-patch-19d25dd87816-tcpdump
tcpdump,CVE-2017-12898,19d25dd87816,interp_reply,262,CVE-2017-12898-patch-19d25dd87816-tcpdump
tcpdump,CVE-2017-13014,cc356512f512,wb_prep,28,CVE-2017-13014-patch-cc356512f512-tcpdump
tcpdump,CVE-2017-13014,cc356512f512,wb_print,44,CVE-2017-13014-patch-cc356512f512-tcpdump
tcpdump,CVE-2017-13025,5338aac7b8b8,mobility_opt_print,65,CVE-2017-13025-patch-5338aac7b8b8-tcpdump
tcpdump,CVE-2017-13005,b45a9a167ca6,xid_map_enter,25,CVE-2017-13005-patch-b45a9a167ca6-tcpdump
tcpdump,CVE-2018-14466,c24922e692a5,rx_cache_insert,9,CVE-2018-14466-patch-c24922e692a5-tcpdump
tcpdump,CVE-2018-14466,c24922e692a5,rx_cache_find,16,CVE-2018-14466-patch-c24922e692a5-tcpdump
tcpdump,CVE-2017-13040,4c3aee4bb029,mp_capable_print,18,CVE-2017-13040-patch-4c3aee4bb029-tcpdump
tcpdump,CVE-2017-13040,4c3aee4bb029,mp_join_print,32,CVE-2017-13040-patch-4c3aee4bb029-tcpdump
tcpdump,CVE-2017-12902,d17507ffa3e9,zephyr_print,289,CVE-2017-12902-patch-d17507ffa3e9-tcpdump
