CVE_ID,func_name,status
CVE-2018-20651,elf_link_add_object_symbols,fail
CVE-2018-7568,parse_die,fail
CVE-2017-8392,_bfd_dwarf2_find_nearest_line,fail
CVE-2017-16830,print_gnu_property_note,fail
CVE-2017-9955,_bfd_generic_get_section_contents,fail
CVE-2017-9955,bfd_get_full_section_contents,fail
CVE-2017-14938,_bfd_elf_slurp_version_tables,fail
CVE-2018-6872,elf_parse_notes,fail
CVE-2017-17126,load_debug_section,fail
CVE-2018-10372,process_cu_tu_index,success
CVE-2014-8484,srec_scan,success
CVE-2017-15996,get_archive_member_name,fail
CVE-2017-15996,process_archive_index_and_symbols,success
CVE-2017-15996,setup_archive,fail
CVE-2017-8397,bfd_perform_relocation,fail
CVE-2014-8738,_bfd_slurp_extended_name_table,fail
