binutils,CVE-2017-13710,setup_group,3,4,,binutils-2.28-o0-objdump,
binutils,CVE-2017-14129,read_section,3,4,binutils-2.29-o0-objdump,,
binutils,CVE-2017-14933,read_formatted_entries,1,4,,"binutils-2.29.1-o0-objdump,binutils-2.30-o0-objdump",2.28
binutils,CVE-2017-15020,parse_die,2,4,,"binutils-2.28-o0-objdump,binutils-2.29.1-o0-objdump",
binutils,CVE-2017-15020,parse_line_table,3,4,binutils-2.29-o0-objdump,,
binutils,CVE-2017-15024,find_abstract_instance_name,2,4,,"binutils-2.28-o0-objdump,binutils-2.29.1-o0-objdump",
binutils,CVE-2017-15024,scan_unit_for_symbols,3,4,binutils-2.29-o0-objdump,,
binutils,CVE-2017-15938,find_abstract_instance_name,2,4,,"binutils-2.28-o0-objdump,binutils-2.29.1-o0-objdump",
binutils,CVE-2017-15939,decode_line_info,3,4,binutils-2.29-o0-objdump,,
binutils,CVE-2017-15996,process_archive_index_and_symbols,2,4,,"binutils-2.28-o0-objdump,binutils-2.29.1-o0-objdump",
binutils,CVE-2017-16831,_bfd_coff_get_external_symbols,4,4,,,
binutils,CVE-2017-16831,coff_get_normalized_symtab,3,4,binutils-2.29.1-o0-objdump,,
binutils,CVE-2021-45078,stab_xcoff_builtin_type,6,6,,,
binutils,CVE-2022-48063,load_specific_debug_section,6,6,,,
binutils,CVE-2022-48065,find_abstract_instance,3,6,"binutils-2.37-o0-objdump,binutils-2.38-o0-objdump,binutils-2.39-o0-objdump",,
binutils,CVE-2023-25586,bfd_init_section_decompress_status,3,4,binutils-2.40-o0-objdump,,
curl,CVE-2013-1944,tailmatch,4,4,,,
curl,CVE-2014-0015,ConnectionExists,3,6,"curl-7.32.0-o0-curl,curl-7.33.0-o0-curl,curl-7.34.0-o0-curl",,
libxml2,CVE-2013-0338,xmlParserEntityCheck,3,3,"libxml2-2.8.0-o0-libxml2,libxml2-2.8.0-rc2-o0-libxml2,libxml2-2.9.0-o0-libxml2",,
libxml2,CVE-2015-7500,xmlParseStartTag2,3,4,"libxml2-2.9.0-o0-libxml2,libxml2-2.9.1-o0-libxml2,libxml2-2.9.2-o0-libxml2",,
libxml2,CVE-2015-7941,xmlParseConditionalSections,4,2,,,
libxml2,CVE-2016-1762,xmlParseInternalSubset,6,3,,,
libxml2,CVE-2016-1836,xmlParseNCNameComplex,4,3,,"libxml2-2.9.4-rc1-o0-libxml2,libxml2-2.9.4-rc2-o0-libxml2",
libxml2,CVE-2016-1837,htmlParseSystemLiteral,4,3,,"libxml2-2.9.4-rc1-o0-libxml2,libxml2-2.9.4-rc2-o0-libxml2",
libxml2,CVE-2022-29824,xmlBufCreateSize,6,6,,,
libxml2,CVE-2022-40303,xmlParseAttValueComplex,6,6,,,
libxml2,CVE-2022-40303,xmlParseAttValueInternal,3,6,"libxml2-2.10.0-o0-libxml2,libxml2-2.10.1-o0-libxml2,libxml2-2.10.2-o0-libxml2",,
libxml2,CVE-2022-40303,xmlParseCDSect,6,6,,,
libxml2,CVE-2022-40303,xmlParseComment,6,6,,,
libxml2,CVE-2022-40303,xmlParseCommentComplex,5,6,,libxml2-2.11.0-o0-libxml2,
libxml2,CVE-2022-40303,xmlParseEntityValue,6,6,,,
libxml2,CVE-2022-40303,xmlParseNCName,6,6,,,
libxml2,CVE-2022-40303,xmlParseNCNameComplex,0,6,,,
libxml2,CVE-2022-40303,xmlParseName,5,6,,libxml2-2.11.0-o0-libxml2,
libxml2,CVE-2022-40303,xmlParseNameComplex,5,6,,libxml2-2.11.0-o0-libxml2,
libxml2,CVE-2022-40303,xmlParseNmtoken,6,6,,,
libxml2,CVE-2022-40303,xmlParsePI,6,6,,,
libxml2,CVE-2022-40303,xmlParsePubidLiteral,6,6,,,
libxml2,CVE-2022-40303,xmlParseStringName,6,6,,,
libxml2,CVE-2022-40303,xmlParseSystemLiteral,6,6,,,
openssl,CVE-2014-8275,ASN1_verify,4,6,openssl-OpenSSL_0_9_8zc-o0-openssl,,OpenSSL_1_0_0o
openssl,CVE-2014-8275,DSA_verify,4,6,,openssl-OpenSSL_0_9_8zd-o0-openssl,OpenSSL_1_0_0o
openssl,CVE-2014-8275,ECDSA_verify,4,6,,openssl-OpenSSL_0_9_8zd-o0-openssl,OpenSSL_1_0_0o
openssl,CVE-2015-1792,CMS_verify,2,4,,,"OpenSSL_0_9_8zg, OpenSSL_1_0_0l, OpenSSL_1_0_2b"
openssl,CVE-2024-0727,PKCS12_unpack_authsafes,3,6,"openssl-openssl-3.0.12-o0-openssl,openssl-openssl-3.1.4-o0-openssl,openssl-openssl-3.2.0-o0-openssl",,
openssl,CVE-2024-0727,PKCS12_unpack_p7encdata,3,6,"openssl-openssl-3.0.12-o0-openssl,openssl-openssl-3.1.4-o0-openssl,openssl-openssl-3.2.0-o0-openssl",,
openssl,CVE-2024-0727,SMIME_write_PKCS7,3,6,"openssl-openssl-3.0.12-o0-openssl,openssl-openssl-3.1.4-o0-openssl,openssl-openssl-3.2.0-o0-openssl",,
openssl,CVE-2024-0727,newpass_p12,0,6,,,
openssl,CVE-2024-0727,pkcs12_gen_mac,0,6,,,
project,CVE,func,succeed,targets,false positive,false negative,failed versions
sqlite,CVE-2016-6153,unixGetTempname,2,6,"sqlite-3.12.1-o0-sqlite3,sqlite-3.12.2-o0-sqlite3",,"3.14, 3.9.3"
sqlite,CVE-2018-20346,fts3ScanInteriorNode,6,6,,,
sqlite,CVE-2018-20346,fts3SegReaderNext,3,6,"sqlite-3.25.0-o0-sqlite3,sqlite-3.25.1-o0-sqlite3,sqlite-3.25.2-o0-sqlite3",,
sqlite,CVE-2019-19645,renameTableFunc,6,6,,,
sqlite,CVE-2019-19645,renameTableSelectCb,6,6,,,
sqlite,CVE-2019-19645,renameUnmapSelectCb,3,6,"sqlite-3.29.0-o0-sqlite3,sqlite-3.30.0-o0-sqlite3,sqlite-3.30.1-o0-sqlite3",,
sqlite,CVE-2019-19646,sqlite3CreateColumnExpr,6,6,,,
sqlite,CVE-2019-19924,codeCompare,3,4,sqlite-3.30.1-o0-sqlite3,,
sqlite,CVE-2019-19924,sqlite3WindowRewrite,4,4,,,
sqlite,CVE-2020-13632,fts3ExprLHits,6,6,,,
sqlite,CVE-2021-36690,idxGetTableInfo,4,4,,,
binutils,CVE-2018-20671,load_specific_debug_section,0,3,,,
binutils,CVE-2021-20294,print_dynamic_symbol,0,5,,,"2.35, 2.35.1, 2.35.2, 2.36.1, 2.37"
openssl,CVE-2022-3358,evp_cipher_init_internal,0,2,,,"OpenSSL_1_1_1r, OpenSSL_1_1_1s"
openssl,CVE-2022-3786,ossl_a2ulabel,0,1,,,OpenSSL_1_1_1s
openssl,CVE-2023-0401,pkcs7_bio_add_digest,0,1,,,OpenSSL_1_1_1t
openssl,CVE-2022-3996,ossl_policy_cache_set_mapping,0,6,,,
openssl,CVE-2023-5363,evp_cipher_init_internal,0,6,,,
