CVE,funcname,succeed,false_positive,false_negative,failed_versions,no_diff,func_not_found,targets
CVE-2021-20311,sRGBTransformImage,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20311,WriteTHUMBNAILImage,6,,,,,,6
CVE-2021-20312,EncipherAESBlock,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20312,PasskeyEncipherImage,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20312,TransformsRGBImage,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20312,PasskeyDecipherImage,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20312,RelinquishVirtualMemory,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20312,sRGBTransformImage,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20312,WriteTHUMBNAILImage,6,,,,,,6
CVE-2021-20313,EncipherAESBlock,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20313,PasskeyEncipherImage,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20313,TransformsRGBImage,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20313,PasskeyDecipherImage,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20313,RelinquishVirtualMemory,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20313,sRGBTransformImage,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20313,WriteTHUMBNAILImage,6,,,,,,6
CVE-2021-20309,WaveImage,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20310,ConvertXYZToJzazbz,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-3574,ReadTIFFImage,4,,,,,,4
CVE-2021-3610,ReadTIFFImage,3,,7.0.11-14;7.1.0-0;7.1.0-1,,,,6
CVE-2023-34153,ReadVIDEOImage,4,7.1.0-1;7.1.0-2,,,,,6
CVE-2023-34153,IsVIDEO,3,,7.1.1-11;7.1.1-12;7.1.1-13,,,,6
CVE-2023-3195,ReadTIFFImage,2,,7.1.1-2;7.1.1-3;7.1.1-4,,,,5
CVE-2021-3962,ReadDCMImage,1,,7.1.0-15;7.1.0-16;7.1.0-17,,,,4
CVE-2022-0284,WritePICONImage,3,,7.1.0-20;7.1.0-21;7.1.0-22,,,,6
CVE-2022-32545,ReadPSDChannelPixels,6,,,,,,6
CVE-2022-1115,ReadTIFFImage,6,,,,,,6
CVE-2022-32546,ReadPCLImage,6,,,,,,6
CVE-2022-28463,ReadCINImage,4,,,,,,4
CVE-2022-32547,GetEXIFProperty,3,,7.1.0-30;7.1.0-31;7.1.0-32,,,,6
CVE-2022-3213,ReadTIFFImage,3,,7.1.0-48;7.1.0-49;7.1.0-50,,,,6
CVE-2023-1289,DrawPrimitive,3,,7.1.1-0;7.1.1-1;7.1.1-2,,,,6
CVE-2023-1906,ReadTIFFImage,1,,7.1.1-6;7.1.1-7;7.1.1-8,,,,4
CVE-2023-34474,ReadTIM2ImageData,3,,7.1.1-10;7.1.1-11;7.1.1-12,,,,6
CVE-2023-34474,ReplaceXmpValue,3,,,,,7.1.1-1;7.1.1-0;7.1.0-62,6
CVE-2023-34475,ReadTIM2ImageData,3,,7.1.1-10;7.1.1-11;7.1.1-12,,,,6
CVE-2023-34475,ReplaceXmpValue,3,,,,,7.1.1-1;7.1.1-0;7.1.0-62,6
CVE-2023-34151,FormatMagickCaption,3,,7.1.1-11;7.1.1-12;7.1.1-13,,,,6
CVE-2023-34151,ShearRotateImage,5,7.1.1-10,,,,,6
CVE-2023-34151,WritePS2Image,5,7.1.1-10,,,,,6
