cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,no_diff,func_not_found,targets
CVE-2016-0798,rev_body,1,0,1,,OpenSSL_1_0_2g;OpenSSL_1_0_2h,,,OpenSSL_1_0_1r;OpenSSL_1_0_1q;OpenSSL_1_0_1s,6
CVE-2016-0798,srp_user_pwd_dup,0,0,0,,,OpenSSL_1_0_2f;OpenSSL_1_0_1r;OpenSSL_1_0_1q;OpenSSL_1_0_2g;OpenSSL_1_0_1s;OpenSSL_1_0_2h,,,6
CVE-2016-0798,ssl_srp_server_param_cb,6,3,3,,,,,,6
CVE-2016-0798,sv_body,5,2,3,,OpenSSL_1_0_1s,,,,6
CVE-2016-0798,www_body,3,0,3,,OpenSSL_1_0_2g;OpenSSL_1_0_1s;OpenSSL_1_0_2h,,,,6
CVE-2016-0799,BIO_vprintf,6,3,3,,,,,,6
CVE-2016-0799,BIO_vsnprintf,6,3,3,,,,,,6
CVE-2016-0799,_dopr,6,3,3,,,,,,6
CVE-2016-0799,doapr_outch,6,3,3,,,,,,6
CVE-2016-0799,fmtfp,6,3,3,,,,,,6
CVE-2016-0799,fmtint,6,3,3,,,,,,6
CVE-2016-0799,fmtstr,6,3,3,,,,,,6
CVE-2016-2842,BIO_vprintf,6,3,3,,,,,,6
CVE-2016-2842,BIO_vsnprintf,6,3,3,,,,,,6
CVE-2016-2842,_dopr,6,3,3,,,,,,6
CVE-2016-2842,doapr_outch,6,3,3,,,,,,6
CVE-2016-2842,fmtfp,6,3,3,,,,,,6
CVE-2016-2842,fmtint,6,3,3,,,,,,6
CVE-2016-2842,fmtstr,6,3,3,,,,,,6
CVE-2016-0797,BN_dec2bn,6,3,3,,,,,,6
CVE-2016-0797,BN_hex2bn,6,3,3,,,,,,6
CVE-2016-0702,BN_mod_exp_mont_consttime,5,2,3,,OpenSSL_1_0_1t,,,,6
CVE-2016-0702,MOD_EXP_CTIME_COPY_FROM_PREBUF,6,3,3,,,,,,6
CVE-2016-0702,MOD_EXP_CTIME_COPY_TO_PREBUF,6,3,3,,,,,,6
CVE-2016-2109,asn1_d2i_read_bio,6,3,3,,,,,,6
CVE-2016-2105,EVP_EncodeUpdate,6,3,3,,,,,,6
CVE-2016-2106,EVP_EncryptUpdate,3,0,3,,OpenSSL_1_0_2i;OpenSSL_1_0_1u;OpenSSL_1_0_2j,,,,6
CVE-2016-2107,aesni_cbc_hmac_sha256_cipher,2,0,2,,OpenSSL_1_0_2i;OpenSSL_1_0_2j,,,OpenSSL_1_0_1s;OpenSSL_1_0_1u,6
CVE-2016-2107,aesni_cbc_hmac_sha1_cipher,3,0,3,,OpenSSL_1_0_2i;OpenSSL_1_0_1u;OpenSSL_1_0_2j,,,,6
CVE-2016-2108,IMPLEMENT_ASN1_SET_OF,0,0,0,,,OpenSSL_0_9_8zh;OpenSSL_1_0_0s;OpenSSL_1_0_2b;OpenSSL_1_0_2i;OpenSSL_1_0_1u;OpenSSL_1_0_2j,,,6
CVE-2016-2108,asn1_ex_c2i,6,3,3,,,,,,6
CVE-2016-2108,asn1_ex_i2c,3,0,3,,OpenSSL_1_0_1u,,,,4
CVE-2016-2176,X509_NAME_oneline,6,3,3,,,,,,6
CVE-2016-2177,tls1_process_ticket,6,3,3,,,,,,6
CVE-2016-2177,ssl_scan_clienthello_tlsext,4,2,2,,,,,OpenSSL_1_0_1t;OpenSSL_1_0_1u,6
CVE-2016-2177,ssl_scan_clienthello_custom_tlsext,4,2,2,,,,,OpenSSL_1_0_1t;OpenSSL_1_0_1u,6
CVE-2016-2177,ssl3_get_client_hello,6,3,3,,,,,,6
CVE-2016-2177,ssl_get_prev_session,6,3,3,,,,,,6
CVE-2016-2177,ssl_check_for_safari,6,3,3,,,,,,6
CVE-2016-2177,ssl_scan_serverhello_tlsext,4,2,2,,,,,OpenSSL_1_0_1t;OpenSSL_1_0_1u,6
CVE-2016-6304,ssl_parse_clienthello_tlsext,4,1,3,,,,,,4
CVE-2016-6306,ssl3_get_server_certificate,6,3,3,,,,,,6
CVE-2016-6306,ssl3_get_certificate_request,6,3,3,,,,,,6
CVE-2016-6306,ssl3_get_client_certificate,6,3,3,,,,,,6
CVE-2016-7052,get_crl_sk,1,0,1,,,,,,1
CVE-2018-0737,rsa_builtin_keygen,3,0,3,,OpenSSL_1_0_2p;OpenSSL_1_1_0i,,,,5
CVE-2018-0732,generate_key,4,1,3,,,,,OpenSSL_1_1_0i;OpenSSL_1_1_1,6
CVE-2019-1559,ssl3_read_bytes,4,1,3,,,,,OpenSSL_1_1_0k,5
CVE-2019-1559,ssl3_send_alert,4,1,3,,,,,OpenSSL_1_1_0k,5
CVE-2019-1559,dtls1_read_bytes,4,1,3,,,,,OpenSSL_1_1_0k,5
CVE-2019-1543,chacha20_poly1305_ctrl,4,1,3,,OpenSSL_1_1_1c,,,OpenSSL_1_0_2s,6
CVE-2019-1547,ec_guess_cofactor,0,0,0,,,OpenSSL_1_1_1c;OpenSSL_1_1_0k;OpenSSL_1_0_2s;OpenSSL_1_1_1d;OpenSSL_1_0_2t;OpenSSL_1_1_0l,,,6
CVE-2019-1547,EC_GROUP_set_generator,0,0,0,,,OpenSSL_1_1_1c;OpenSSL_1_1_0k;OpenSSL_1_0_2s;OpenSSL_1_1_1d;OpenSSL_1_0_2t;OpenSSL_1_1_0l,,,6
CVE-2019-1547,EC_METHOD_get_field_type,0,0,0,,,OpenSSL_1_1_1c;OpenSSL_1_1_0k;OpenSSL_1_0_2s;OpenSSL_1_1_1d;OpenSSL_1_0_2t;OpenSSL_1_1_0l,,,6
CVE-2019-1563,CMS_decrypt,6,3,3,,,,,,6
CVE-2019-1563,PKCS7_dataDecode,3,0,3,,OpenSSL_1_0_2u;OpenSSL_1_1_1e;OpenSSL_1_1_1f,,,,6
CVE-2019-1563,cms_RecipientInfo_ktri_decrypt,6,3,3,,,,,,6
CVE-2019-1563,pkcs7_decrypt_rinfo,5,3,2,OpenSSL_1_0_2s,,,,,6
CVE-2020-1967,tls1_check_sig_alg,6,3,3,,,,,,6
CVE-2021-23840,evp_EncryptDecryptUpdate,6,3,3,,,,,,6
CVE-2021-23840,EVP_DecryptUpdate,6,3,3,,,,,,6
CVE-2021-4044,ssl_verify_cert_chain,5,2,3,,,,,,5
CVE-2021-4044,tls_post_process_server_certificate,1,0,1,,,,,OpenSSL_1_0_1u;OpenSSL_1_0_1t;OpenSSL_1_1_1n,4
CVE-2022-1473,OPENSSL_LH_flush,5,2,3,,,,,OpenSSL_1_1_1o,6
CVE-2022-1343,ocsp_verify_signer,3,0,3,,openssl-3.0.4;openssl-3.0.5,,,OpenSSL_1_1_1p,6
CVE-2022-2274,ossl_rsaz_mod_exp_avx512_x2,1,0,1,,openssl-3.0.5,,,OpenSSL_1_1_1q;OpenSSL_1_1_1r,4
CVE-2022-3358,evp_md_init_internal,5,2,3,,,,,OpenSSL_1_1_1r,6
CVE-2022-3358,evp_cipher_init_internal,5,2,3,,,,,OpenSSL_1_1_1r,6
CVE-2022-3602,ossl_punycode_decode,6,3,3,,,,,,6
CVE-2022-3786,ossl_a2ucompare,3,0,3,,openssl-3.1.0-alpha1;openssl-3.1.0-beta1;openssl-3.0.8,,,,6
CVE-2022-3786,ossl_a2ulabel,4,1,3,,openssl-3.1.0-alpha1;openssl-3.1.0-beta1,,,,6
CVE-2022-3786,ossl_punycode_decode,3,0,3,,openssl-3.1.0-alpha1;openssl-3.1.0-beta1;openssl-3.0.8,,,,6
CVE-2022-3996,ossl_policy_cache_set_mapping,5,2,3,,,,,OpenSSL_1_1_1t,6
CVE-2022-4203,nc_match,6,3,3,,,,,,6
CVE-2022-4203,nc_match_single,5,2,3,,,,,,5
CVE-2023-0215,BIO_new_NDEF,6,3,3,,,,,,6
CVE-2023-0216,STACK_OF,0,0,0,,,openssl-3.0.7;openssl-3.0.6;openssl-3.0.5;openssl-3.0.8;OpenSSL_1_1_1t;openssl-3.1.0,,,6
CVE-2023-0216,ossl_pkcs7_resolve_libctx,5,2,3,,,,,OpenSSL_1_1_1t,6
CVE-2023-0401,PKCS7_dataDecode,6,3,3,,,,,,6
CVE-2023-0401,pkcs7_bio_add_digest,5,2,3,,,,,OpenSSL_1_1_1t,6
CVE-2023-2650,OBJ_obj2txt,3,0,3,,OpenSSL_1_1_1u;openssl-3.0.9;openssl-3.1.1,,,,6
CVE-2023-2975,siv_cipher,5,2,3,,,,,OpenSSL_1_1_1v,6
CVE-2023-5363,evp_cipher_init_internal,12,6,6,,,,,,12
CVE-2023-5678,DH_check_pub_key,6,3,3,,,,,,6
CVE-2023-5678,generate_key,6,3,3,,,,,,6
CVE-2023-5678,ossl_dh_compute_key,6,3,3,,,,,,6
CVE-2024-0727,SMIME_write_PKCS7,6,3,3,,,,,,6
CVE-2024-0727,STACK_OF,0,0,0,,,openssl-3.2.0;openssl-3.0.12;openssl-3.1.4;openssl-3.1.5;openssl-3.2.1;openssl-3.0.13,,,6
CVE-2024-0727,newpass_p12,6,3,3,,,,,,6
CVE-2024-0727,pkcs12_gen_mac,6,3,3,,,,,,6
