cve,funcname,succeed,false_positive,false_negative,failed_versions,too_much_diff,cant_tell,no_diff,func_not_found,targets
CVE-2017-8816,Curl_ntlm_core_mk_ntlmv2_hash,0,,,,,7.56.1;7.56.0;7.55.1;7.57.0;7.58.0;7.59.0,,,6
CVE-2016-8625,curl_version,0,,,,,7.50.3;7.50.2;7.50.1;7.51.0;7.52.0;7.52.1,,,6
CVE-2016-8625,create_conn,0,,,,,,,7.50.3;7.50.2;7.50.1;7.51.0;7.52.0;7.52.1,6
CVE-2016-8625,curl_version_info,0,,,,,7.50.3;7.50.2;7.50.1;7.51.0;7.52.0;7.52.1,,,6
CVE-2016-8625,fix_hostname,0,,,,,,,7.50.3;7.50.2;7.50.1;7.51.0;7.52.0;7.52.1,6
CVE-2016-8625,global_init,0,,,,,,,7.50.3;7.50.2;7.50.1;7.51.0;7.52.0;7.52.1,6
CVE-2016-8625,Curl_idn_strerror,0,,,7.50.3;7.50.2;7.50.1;7.51.0;7.52.0;7.52.1,,,,,6
CVE-2016-8625,idna_init,0,,,7.50.3;7.50.2;7.50.1;7.51.0;7.52.0;7.52.1,,,,,6
CVE-2016-8625,tld_check_name,0,,,7.50.3;7.50.2;7.50.1;7.51.0;7.52.0;7.52.1,,,,,6
CVE-2016-8623,Curl_cookie_clearall,0,,,,,7.50.3;7.50.2;7.50.1;7.51.0;7.52.0;7.52.1,,,6
CVE-2016-8623,Curl_cookie_getlist,3,,7.51.0;7.52.0;7.52.1,,,,,,6
CVE-2016-8623,Curl_cookie_cleanup,0,,,,,7.50.3;7.50.2;7.50.1;7.51.0;7.52.0;7.52.1,,,6
CVE-2016-8623,Curl_http,0,,,,7.50.3;7.50.2;7.50.1;7.51.0;7.52.0;7.52.1,,,,6
CVE-2016-8623,dup_cookie,0,,,7.50.3;7.50.2;7.50.1;7.51.0;7.52.0;7.52.1,,,,,6
